VARSIG2	jmsdestinationtyp jm destin type 
COMMENTS	jm destin type jm add 
CLASSES	jmsdestinationtyp jm destin type 
VARSIG1	object obj 
VARSIG0	type 
METHODS	jmsdestinationtyp jm destin type gettyp type equal compareto compar tostr getkei kei 
MTHSIG4	tostr 
MTHSIG5	getkei kei 
MTHSIG0	jmsdestinationtyp jm destin type type 
MTHSIG1	gettyp type 
PACKAGE	springframework roo addon jm 
MTHSIG2	equal object obj 
MTHSIG3	compareto compar jmsdestinationtyp jm destin type 
VARIABLES	type obj topic durabl topic queue type result tsc 
