MTHSIG28	getenclosingtypenam enclos type 
MTHSIG26	getimport import 
MTHSIG27	getinnertyp type 
MTHSIG24	tostr 
MTHSIG25	getcompilationunitpackag compil unit 
MTHSIG22	getresolvednam resolv javatyp type target javatyp type current compilationunitservic compil unit servic compilationunit compil unit 
MTHSIG23	createorupdatetypeondisk creat updat type disk filemanag file manag filemanag file manag classorinterfacetypedetail type detail cit fileidentifi file identifi 
VARSIG39	importdeclar declar importdeclar declar 
MTHSIG4	getsuperclass superclass 
VARSIG34	fieldmetadata field metadata candid 
MTHSIG5	getphysicaltypecategori physic type categori 
VARSIG33	javasymbolnam symbol constant 
MTHSIG6	getnam 
VARSIG32	annotationmetadata annot metadata candid 
MTHSIG7	getdeclaredconstructor declar constructor 
VARSIG31	javatyp type current 
MTHSIG0	javaparserclassorinterfacetypedetail parser type detail compilationunit compil unit compilationunit compil unit typedeclar type declar typedeclar type declar declaredbymetadataid declar metadata javatyp type typenam type metadataservic metadata servic metadataservic metadata servic physicaltypemetadataprovid physic type metadata provid physicaltypemetadataprovid physic type metadata provid 
VARSIG38	importdeclar declar importdeclar declar 
MTHSIG1	javaparserclassorinterfacetypedetail parser type detail typecont type content declaredbymetadataid declar metadata javatyp type typenam type metadataservic metadata servic metadataservic metadata servic physicaltypemetadataprovid physic type metadata provid physicaltypemetadataprovid physic type metadata provid 
VARSIG37	classorinterfacetypedetail type detail candid 
PACKAGE	springframework roo classpath javapars 
MTHSIG2	getdeclaredbymetadataid declar metadata 
VARSIG36	methodmetadata metadata candid 
MTHSIG3	getmodifi modifi 
VARSIG35	constructormetadata constructor metadata candid 
MTHSIG20	addenumconst add constant compilationunitservic compil unit servic compilationunitservic compil unit servic list enumconstantdeclar constant declar constant javasymbolnam symbol 
MTHSIG21	getresolvednam resolv javatyp type target javatyp type current compilationunit compil unit compilationunit compil unit 
MTHSIG8	getenumconst constant 
VARSIG30	javatyp type 
MTHSIG9	getdeclaredfield declar field 
CLASSES	javaparserclassorinterfacetypedetail parser type detail 
VARSIG29	javatyp type current 
VARSIG28	importmetadata metadata importtyp type 
METHODS	javaparserclassorinterfacetypedetail parser type detail javaparserclassorinterfacetypedetail parser type detail getdeclaredbymetadataid declar metadata getmodifi modifi getsuperclass superclass getphysicaltypecategori physic type categori getnam getdeclaredconstructor declar constructor getenumconst constant getdeclaredfield declar field getdeclaredmethod declar method getdeclaredinnertyp declar type getdeclarediniti declar initi getextendstyp type getimplementstyp type getregisteredimport regist import getannot annot listmemb list member updateoutput updat output getcompilationunitcont compil unit content addenumconst add constant getresolvednam resolv getresolvednam resolv createorupdatetypeondisk creat updat type disk tostr getcompilationunitpackag compil unit getimport import getinnertyp type getenclosingtypenam enclos type 
VARSIG23	nameexpr expr 
VARSIG22	arraylist arrai list arg 
VARSIG21	classorinterfacetyp type 
VARSIG20	typedeclar type declar typedeclar type declar 
VARSIG27	list bodydeclar bodi declar parent 
VARSIG26	classorinterfacetypedetail type detail cit 
VARSIG25	compilationunit compil unit compilationunit compil unit 
VARSIG24	arraylist arrai list arg 
VARSIG7	javatyp type 
VARSIG6	importdeclar declar importdeclar declar 
VARSIG9	enumconstantdeclar constant declar enumconst constant 
VARSIG8	classorinterfacetyp type candid 
VARSIG3	javatyp type typenam type 
VARSIG2	declaredbymetadataid declar metadata 
VARSIG5	physicaltypemetadataprovid physic type metadata provid physicaltypemetadataprovid physic type metadata provid 
VARSIG4	metadataservic metadata servic metadataservic metadata servic 
COMMENTS	parser implement link classorinterfacetypedetail type detail immut construct satisfi intern calcul lowercas assum straight type import happen uppercas let javatyp type comput enclos type properli determin type ad type paramet revert origin type avoid unnecessari infer lang type roo verifi declar appear correct convert parser modifi jdk modifi type paramet fortun type name top level superclass finish declar type introspect type refer bodi member defer illeg refer type signatur enclos type type append present present bodi declar bodi declar present compil unit progress build type compilationunit compil unit work progress compil unit requir cit add requir bodydeclar bodi declar list append requir parent bodi declar subclass denot top level type compil unit append import declar creat declar repres actual type handl top level type type superclass handl handl ad top level type add compil unit type top level creat compil unit javatyp type metadata method add type annot add constant interfac handl add field add constructor add method add type creat compil unit store type creat list replac sort version add declar compil unit pass argument denot work top level type determin locat insert 
