VARSIG2	loglevel log level 
COMMENTS	log level configur logger order 
CLASSES	loglevel log level 
VARSIG1	object obj 
VARSIG0	loglevel log level 
METHODS	loglevel log level getloglevel log level getkei kei hashcod hash code equal compareto compar tostr 
MTHSIG4	equal object obj 
MTHSIG5	compareto compar loglevel log level 
MTHSIG6	tostr 
MTHSIG0	loglevel log level loglevel log level 
MTHSIG1	getloglevel log level 
PACKAGE	springframework roo addon log 
MTHSIG2	getkei kei 
MTHSIG3	hashcod hash code 
VARIABLES	loglevel log level obj loglevel log level fatal error warn info debug trace tsc 
