VARSIG7	methodmetadata metadata accessor 
VARSIG6	javatyp type javatyp type 
VARSIG9	javatyp type governor 
VARSIG8	javatyp type generictyp type 
VARSIG3	physicaltypemetadata physic type metadata governorphysicaltypemetadata governor physic type metadata 
VARSIG2	javatyp type aspectnam aspect 
VARSIG5	javatyp type type 
VARSIG4	itdfilenam filenam 
COMMENTS	link webscaffoldmetadata web scaffold metadata governor type detail safe pars annot expect lookup form back object object metadata lookup metadata depend abort couldn find depend metadata inform depend metadata inform referenc type chang monitor parent type parent trickl govern type unabl metadata javatyp type project unabl entiti metadata entiti project interest identifi version field interest field expos mutat interest type applic 
VARSIG1	metadataidentificationstr metadata identif 
VARSIG0	componentcontext compon context context 
VARSIG17	path path 
MTHSIG4	hasmut mutat fieldmetadata field metadata fieldmetadata field metadata beaninfometadata bean info metadata bim 
VARSIG12	beaninfometadata bean info metadata bim 
MTHSIG5	isspecialtyp special type javatyp type javatyp type 
VARSIG11	fieldmetadata field metadata fieldmetadata field metadata 
MTHSIG6	getitduniquenessfilenamesuffix uniqu filenam suffix 
VARSIG10	javatyp type control 
MTHSIG7	getgovernorphysicaltypeidentifi governor physic type identifi metadataidentificationstr metadata identif 
MTHSIG0	activ componentcontext compon context context 
VARSIG16	javatyp type javatyp type 
MTHSIG1	getmetadata metadata metadataidentificationstr metadata identif javatyp type aspectnam aspect physicaltypemetadata physic type metadata governorphysicaltypemetadata governor physic type metadata itdfilenam filenam 
VARSIG15	metadataidentificationstr metadata identif 
PACKAGE	springframework roo addon web mvc control 
MTHSIG2	getspecialdomaintyp special domain type javatyp type javatyp type 
VARSIG14	javatyp type javatyp type 
MTHSIG3	installconversionservic instal convers servic javatyp type governor 
VARSIG13	methodmetadata metadata mutat 
MTHSIG8	createlocalidentifi creat local identifi javatyp type javatyp type path path 
MTHSIG9	getprovidestyp type 
CLASSES	webscaffoldmetadataproviderimpl web scaffold metadata provid impl 
METHODS	activ getmetadata metadata getspecialdomaintyp special domain type installconversionservic instal convers servic hasmut mutat isspecialtyp special type getitduniquenessfilenamesuffix uniqu filenam suffix getgovernorphysicaltypeidentifi governor physic type identifi createlocalidentifi creat local identifi getprovidestyp type 
VARIABLES	context metadataidentificationstr metadata identif aspectnam aspect governorphysicaltypemetadata governor physic type metadata itdfilenam filenam type javatyp type accessor generictyp type governor control fieldmetadata field metadata bim mutat javatyp type metadataidentificationstr metadata identif javatyp type path controlleroper control oper typelocationservic type locat servic conversionserviceoper convers servic oper annotationvalu annot valu javatyp type path beaninfometadatakei bean info metadata kei entitymetadatakei entiti metadata kei findermetdadatakei finder metdadata kei beaninfometadata bean info metadata entitymetadata entiti metadata findermetadata finder metadata specialtyp special type bim fieldmetadata field metadata type rooconversionservic roo convers servic roowebscaffold roo web scaffold control annot attr javatyp type path physicaltypeidentifi physic type identifi 
