VARSIG7	serverurl server url 
VARSIG6	 
VARSIG9	except 
VARSIG8	except 
VARSIG3	except 
VARSIG2	serverurl server url 
VARSIG5	testpath test path 
VARSIG4	fieldmetadata field metadata field 
COMMENTS	properti file configur oper caution concurr access support creat selenium testcas control javatyp type control test requir test option abort creation selenium test control creation instanc form back object tbodi appendchild append child clickandwaitcommand click wait command selenium link creat beaninfometadata bean info metadata getjavabean bean getsimpletypenam simpl type tbodi appendchild append child typekeycommand type kei command selenium field plugin instal instal plugin includ field shouldn mutat user includ version field shouldn mutat user node typekeycommand type kei command document document fieldmetadata field metadata field node document createel creat element node appendchild append child document createel creat element settextcont set text content typekei type kei node appendchild append child document createel creat element settextcont set text content field getfieldnam field getsymbolnam symbol node appendchild append child document createel creat element settextcont set text content interest type applic editor exist 
VARSIG19	linktarget link target 
VARSIG1	 
VARSIG18	document document 
VARSIG0	javatyp type control 
VARSIG17	fieldmetadata field metadata field 
MTHSIG4	geteligablefield elig field 
VARSIG12	methodmetadata metadata mutat 
MTHSIG5	hasmut mutat fieldmetadata field metadata fieldmetadata field metadata 
VARSIG11	fieldmetadata field metadata fieldmetadata field metadata 
MTHSIG6	clickandwaitcommand click wait command document document linktarget link target 
VARSIG10	methodmetadata metadata 
MTHSIG7	typecommand type command document document fieldmetadata field metadata field 
MTHSIG0	isprojectavail project 
VARSIG16	fieldmetadata field metadata field 
MTHSIG1	generatetest gener test javatyp type control serverurl server url 
VARSIG15	document document 
PACKAGE	springframework roo addon web selenium 
MTHSIG2	managetestsuit manag test suit testpath test path serverurl server url 
VARSIG14	linktarget link target 
MTHSIG3	installmavenplugin instal maven plugin 
VARSIG13	document document 
MTHSIG8	converttoiniti convert initi fieldmetadata field metadata field 
MTHSIG9	opencommand open command document document linktarget link target 
CLASSES	seleniumoperationsimpl selenium oper impl 
METHODS	isprojectavail project generatetest gener test managetestsuit manag test suit installmavenplugin instal maven plugin geteligablefield elig field hasmut mutat clickandwaitcommand click wait command typecommand type command converttoiniti convert initi opencommand open command isspecialtyp special type 
VARSIG20	javatyp type javatyp type 
MTHSIG10	isspecialtyp special type javatyp type javatyp type 
VARIABLES	control serverurl server url field testpath test path serverurl server url fieldmetadata field metadata mutat document linktarget link target document field field document linktarget link target javatyp type filemanag file manag pathresolv path resolv metadataservic metadata servic menuoper menu oper beaninfometadata bean info metadata logger webscaffoldmetadataidentifi web scaffold metadata identifi webscaffoldmetadata web scaffold metadata relativetestfilepath rel test file path seleniumpath selenium path seleniummutablefil selenium mutabl file selenium templateinputstream templat input stream projectmetadata project metadata root tbodi relativetestfilepath rel test file path seleniumpath selenium path seleniummutablefil selenium mutabl file suit templateinputstream templat input stream projectmetadata project metadata root pomfilepath pom file path pompath pom path pommutablefil pom mutabl file pom root depend plugin groupid group artifactid artifact version configur suit suitepath suit path browser starturl start url field propertynam properti field initi cal datetimeformat time format style physicaltypeidentifi physic type identifi 
