VARSIG7	javasymbolnam symbol mappedbi map 
VARSIG6	list annotationmetadatabuild annot metadata builder annot 
VARSIG3	javatyp type genericparametertypenam paramet type 
VARSIG2	javasymbolnam symbol fieldnam field 
VARSIG5	fetch fetch 
VARSIG4	cardin cardin 
COMMENTS	properti side relationship elementcollect element collect enum call set order lineitem item link order set order limit support collect map reflect pragmat goal tool fact user edit gener file hand field intend jsr creat onetomani annot enum elementcollect element collect annot creat jsr onetomani mappedbi map annot attribut assum set field 
CLASSES	setfield set field 
VARSIG1	javatyp type fieldtyp field type 
VARSIG0	physicaltypeidentifi physic type identifi 
METHODS	setfield set field getfetch fetch setfetch set fetch decorateannotationslist decor annot list getiniti initi getmappedbi map setmappedbi set map 
MTHSIG4	getiniti initi 
MTHSIG5	getmappedbi map 
MTHSIG6	setmappedbi set map javasymbolnam symbol mappedbi map 
MTHSIG0	setfield set field physicaltypeidentifi physic type identifi javatyp type fieldtyp field type javasymbolnam symbol fieldnam field javatyp type genericparametertypenam paramet type cardin cardin 
MTHSIG1	getfetch fetch 
PACKAGE	springframework roo classpath oper jsr jsr 
MTHSIG2	setfetch set fetch fetch fetch 
MTHSIG3	decorateannotationslist decor annot list list annotationmetadatabuild annot metadata builder annot 
VARIABLES	physicaltypeidentifi physic type identifi fieldtyp field type fieldnam field genericparametertypenam paramet type cardin fetch annot mappedbi map mappedbi map cardin fetch attribut param 
