VARSIG7	javatypewrapp type wrapper domainjavatyp domain type 
VARSIG6	linkedhashset link hash set javatypewrapp type wrapper domainjavatyp domain type 
VARSIG9	javatypewrapp type wrapper 
VARSIG8	linkedhashset link hash set javatypewrapp type wrapper domainjavatyp domain type 
VARSIG3	identifi 
VARSIG2	physicaltypemetadata physic type metadata governorphysicaltypemetadata governor physic type metadata 
VARSIG5	physicaltypemetadata physic type metadata governorphysicaltypemetadata governor physic type metadata 
VARSIG4	javatyp type aspectnam aspect 
COMMENTS	repres metadata applic wide convers servic gener method afterpropertiesset properti set overrid initializingbean initi bean lifecycl parent installlabelconvert instal label convert formatterregistri formatt registri registri regist convert method convert scaffold domain type associ test method 
VARSIG1	javatyp type aspectnam aspect 
VARSIG0	identifi 
MTHSIG4	getinstallmethodbuild instal builder 
VARSIG12	convertermethodnam convert 
MTHSIG5	getafterpropertiessetmethod properti set methodmetadata metadata installconvertersmethod instal convert 
VARSIG11	javatypewrapp type wrapper roojavatyp roo type 
MTHSIG6	getgovernormethod governor methodnam list annotatedjavatyp annot type paramet 
VARSIG10	javatypewrapp type wrapper 
MTHSIG0	conversionservicemetadata convers servic metadata identifi javatyp type aspectnam aspect physicaltypemetadata physic type metadata governorphysicaltypemetadata governor physic type metadata 
MTHSIG1	conversionservicemetadata convers servic metadata identifi javatyp type aspectnam aspect physicaltypemetadata physic type metadata governorphysicaltypemetadata governor physic type metadata linkedhashset link hash set javatypewrapp type wrapper domainjavatyp domain type 
VARSIG15	list annotatedjavatyp annot type paramet 
PACKAGE	springframework roo addon web mvc control 
MTHSIG2	getlabelconvertertyp label convert type linkedhashset link hash set javatypewrapp type wrapper domainjavatyp domain type 
VARSIG14	methodnam 
MTHSIG3	getconvertermethod convert javatypewrapp type wrapper roojavatyp roo type convertermethodnam convert 
VARSIG13	methodmetadata metadata installconvertersmethod instal convert 
CLASSES	conversionservicemetadata convers servic metadata 
METHODS	conversionservicemetadata convers servic metadata conversionservicemetadata convers servic metadata getlabelconvertertyp label convert type getconvertermethod convert getinstallmethodbuild instal builder getafterpropertiessetmethod properti set getgovernormethod governor 
VARIABLES	identifi aspectnam aspect governorphysicaltypemetadata governor physic type metadata identifi aspectnam aspect governorphysicaltypemetadata governor physic type metadata domainjavatyp domain type domainjavatyp domain type domainjavatyp domain type roojavatyp roo type convertermethodnam convert installconvertersmethod instal convert methodnam paramet logger installmethodbuild instal builder convertermethodnam convert installmethod instal alltyp type labelconvertertyp label convert type param converterjavatyp convert type bodybuild bodi builder labelmethod label method returntyp type methodnam paramet parameternam paramet name methodnam paramet parameternam paramet name bodybuild bodi builder 
