VARSIG3	filter 
VARSIG2	object obj 
COMMENTS	simplifi immut represent filter conveni constructor creat filter instanc properti requir conveni constructor creat filter instanc xml element element properti definit requir filter 
CLASSES	filter 
VARSIG1	element element 
VARSIG0	 
METHODS	filter filter getvalu hashcod hash code equal compareto compar tostr 
MTHSIG4	equal object obj 
MTHSIG5	compareto compar filter 
MTHSIG6	tostr 
MTHSIG0	filter 
MTHSIG1	filter element element 
PACKAGE	springframework roo project 
MTHSIG2	getvalu 
MTHSIG3	hashcod hash code 
VARIABLES	element obj prime result tsc 
