VARSIG7	itdfilenam filenam 
VARSIG6	physicaltypemetadata physic type metadata governorphysicaltypemetadata governor physic type metadata 
VARSIG3	metadataidentificationstr metadata identif 
VARSIG2	path path 
VARSIG5	javatyp type aspectnam aspect 
VARSIG4	metadataidentificationstr metadata identif 
COMMENTS	link dbremetadata dbre metadata governor type detail safe abort databas couldn deseri occur dbre xml file delet empti 
CLASSES	dbremetadataproviderimpl dbre metadata provid impl 
VARSIG1	javatyp type javatyp type 
VARSIG0	componentcontext compon context context 
METHODS	activ createlocalidentifi creat local identifi getgovernorphysicaltypeidentifi governor physic type identifi getmetadata metadata getitduniquenessfilenamesuffix uniqu filenam suffix getprovidestyp type 
MTHSIG4	getitduniquenessfilenamesuffix uniqu filenam suffix 
MTHSIG5	getprovidestyp type 
MTHSIG0	activ componentcontext compon context context 
MTHSIG1	createlocalidentifi creat local identifi javatyp type javatyp type path path 
PACKAGE	springframework roo addon dbre 
MTHSIG2	getgovernorphysicaltypeidentifi governor physic type identifi metadataidentificationstr metadata identif 
MTHSIG3	getmetadata metadata metadataidentificationstr metadata identif javatyp type aspectnam aspect physicaltypemetadata physic type metadata governorphysicaltypemetadata governor physic type metadata itdfilenam filenam 
VARIABLES	context javatyp type path metadataidentificationstr metadata identif metadataidentificationstr metadata identif aspectnam aspect governorphysicaltypemetadata governor physic type metadata itdfilenam filenam dbremodelservic dbre model servic typelocationservic type locat servic javatyp type path javatyp type entitymetadata entiti metadata identifiermetadatamid identifi metadata mid identifiermetadata identifi metadata databas managedent manag entiti 
