VARSIG7	plural 
VARSIG6	javasymbolnam symbol findernam finder 
VARSIG9	token token 
VARSIG8	beaninfometadata bean info metadata beaninfometadata bean info metadata 
VARSIG3	set javasymbolnam symbol exclus 
VARSIG2	maxdepth max depth 
VARSIG5	fieldmetadata field metadata field 
VARSIG4	memberholdingtypedetail member hold type detail typedetail type detail 
COMMENTS	implement link dynamicfinderservic dynam finder servic ignor util map field type roo remov field token replac min max 
VARSIG19	isfirst 
VARSIG1	plural 
VARSIG18	prepend 
VARSIG0	memberdetail member detail memberdetail member detail 
VARSIG17	set javasymbolnam symbol finder 
MTHSIG4	createfind creat finder fieldmetadata field metadata field set javasymbolnam symbol finder prepend isfirst 
VARSIG12	beaninfometadata bean info metadata beaninfometadata bean info metadata 
MTHSIG5	populatefind popul finder set javasymbolnam symbol finder fieldmetadata field metadata field prepend isfirst keyword kei word 
VARSIG11	plural 
MTHSIG6	isnumberord number fullyqualifiedtypenam fulli qualifi type 
VARSIG10	javasymbolnam symbol findernam finder 
MTHSIG0	getfindersfor finder memberdetail member detail memberdetail member detail plural maxdepth max depth set javasymbolnam symbol exclus 
VARSIG16	fieldmetadata field metadata field 
MTHSIG1	getjpaqueryfor jpa queri javasymbolnam symbol findernam finder plural beaninfometadata bean info metadata beaninfometadata bean info metadata 
VARSIG15	beaninfometadata bean info metadata beaninfometadata bean info metadata 
PACKAGE	springframework roo addon finder 
MTHSIG2	getparameternam paramet name javasymbolnam symbol findernam finder plural beaninfometadata bean info metadata beaninfometadata bean info metadata 
VARSIG14	plural 
MTHSIG3	getparametertyp paramet type javasymbolnam symbol findernam finder plural beaninfometadata bean info metadata beaninfometadata bean info metadata 
VARSIG13	javasymbolnam symbol findernam finder 
CLASSES	dynamicfinderservicesimpl dynam finder servic impl 
VARSIG29	fullyqualifiedtypenam fulli qualifi type 
VARSIG28	javasymbolnam symbol finder 
METHODS	getfindersfor finder getjpaqueryfor jpa queri getparameternam paramet name getparametertyp paramet type createfind creat finder populatefind popul finder isnumberord number 
VARSIG23	set javasymbolnam symbol finder 
VARSIG22	reservedtoken reserv token keyword kei word 
VARSIG21	reservedtoken reserv token keyword kei word 
VARSIG20	reservedtoken reserv token keyword kei word 
VARSIG27	keyword kei word 
VARSIG26	isfirst 
VARSIG25	prepend 
VARSIG24	fieldmetadata field metadata field 
VARIABLES	memberdetail member detail plural maxdepth max depth exclus typedetail type detail field findernam finder plural beaninfometadata bean info metadata token findernam finder plural beaninfometadata bean info metadata findernam finder plural beaninfometadata bean info metadata field finder prepend isfirst keyword kei word keyword kei word keyword kei word finder field prepend isfirst keyword kei word finder fullyqualifiedtypenam fulli qualifi type finder tempfind temp finder tablenam builder token token lastfieldtoken field token isnewfield field isfieldappli field appli reservedtoken reserv token fieldnam field setfield set field name token token token fieldnam field field fieldnam field field type token token token field field tempfind temp finder tempfind temp finder 
