VARSIG7	javasymbolnam symbol findernam finder 
VARSIG6	beaninfometadata bean info metadata beaninfometadata bean info metadata 
VARSIG9	beaninfometadata bean info metadata beaninfometadata bean info metadata 
VARSIG8	plural 
VARSIG3	set javasymbolnam symbol exclus 
VARSIG2	maxdepth max depth 
VARSIG5	plural 
VARSIG4	javasymbolnam symbol findernam finder 
COMMENTS	link dynamicfinderservic dynam finder servic gener dynam finder method base link javasymbolnam symbol findbyfirstnameandlastnam finder combin creat queri provid access paramet type name conveni gener combin finder signatur memberdetail member detail metadata link javatyp type finder signatur combin gener requir plural pluralis form entiti finder name requir maxdepth max depth depth combin finder signatur combin depth combin maximum attribut link beaninfometadata bean info metadata requir exclus field name contain suggest finder finder signatur depth gener name jpa queri jpa entiti manag queri findernam finder finder signatur valid signatur requir beaninfometadata bean info metadata metadata link beaninfometadata bean info metadata finder signatur combin gener requir jpa name queri combin jpa entiti manag queri order find paramet type name jpa queri findernam finder finder signatur valid signatur requir beaninfometadata bean info metadata metadata link beaninfometadata bean info metadata finder signatur combin gener requir link javatyp type arrai repres paramet type finder signatur present combin link getjpaqueryfor jpa queri javasymbolnam symbol beaninfometadata bean info metadata order find paramet name name jpa queri findernam finder finder signatur valid signatur requir beaninfometadata bean info metadata metadata link beaninfometadata bean info metadata finder signatur combin gener requir link javasymbolnam symbol arrai repres paramet name finder signatur present 
CLASSES	dynamicfinderservic dynam finder servic 
VARSIG1	plural 
VARSIG0	memberdetail member detail memberdetail member detail 
METHODS	getfindersfor finder getjpaqueryfor jpa queri getparametertyp paramet type getparameternam paramet name 
VARSIG12	beaninfometadata bean info metadata beaninfometadata bean info metadata 
VARSIG11	plural 
VARSIG10	javasymbolnam symbol findernam finder 
MTHSIG0	getfindersfor finder memberdetail member detail memberdetail member detail plural maxdepth max depth set javasymbolnam symbol exclus 
MTHSIG1	getjpaqueryfor jpa queri javasymbolnam symbol findernam finder plural beaninfometadata bean info metadata beaninfometadata bean info metadata 
PACKAGE	springframework roo addon finder 
MTHSIG2	getparametertyp paramet type javasymbolnam symbol findernam finder plural beaninfometadata bean info metadata beaninfometadata bean info metadata 
MTHSIG3	getparameternam paramet name javasymbolnam symbol findernam finder plural beaninfometadata bean info metadata beaninfometadata bean info metadata 
VARIABLES	memberdetail member detail plural maxdepth max depth exclus findernam finder plural beaninfometadata bean info metadata findernam finder plural beaninfometadata bean info metadata findernam finder plural beaninfometadata bean info metadata 
