MTHSIG0	iscreateprojectavail creat project 
MTHSIG1	getprojectroot project root 
VARSIG2	integ majorjavavers major version 
PACKAGE	springframework roo addon maven 
MTHSIG2	createproject creat project javapackag toplevelpackag top level projectnam project integ majorjavavers major version 
COMMENTS	method link mavenoperationsimpl maven oper impl 
CLASSES	mavenoper maven oper 
VARIABLES	toplevelpackag top level projectnam project majorjavavers major version 
VARSIG1	projectnam project 
VARSIG0	javapackag toplevelpackag top level 
METHODS	iscreateprojectavail creat project getprojectroot project root createproject creat project 
