VARSIG7	jspfilenam jsp filenam 
VARSIG6	javasymbolnam symbol paramnam 
VARSIG9	except 
VARSIG8	document propos 
VARSIG3	methodmetadata metadata 
VARSIG2	metadataidentificationstr metadata identif 
VARSIG5	findernam finder 
VARSIG4	fieldmetadata field metadata 
COMMENTS	listen link webscaffoldmetadata web scaffold metadata produc jsp request metadata caution concurr access support work mid metadata depend javatyp type path web scaffold control can scaffold don manag jsp time shouldn need notifi chang web scaffold metadata metadatadependencyregistri metadata depend registri registerdepend regist depend webscaffoldmetadatakei web scaffold metadata kei metadataidentificationstr metadata identif lookup metadata entiti creat inform depend metadata abort couldn find depend metadata can hold entiti need build jsp instal web artifact spring mvc config miss hold directori control directori jsp add creat menu item setup label support add list menu item finder scaffold finder roo add find menu item clean link finder remov disk chang updat creat mutablefil mutabl file write content jspcontent jsp content file build represent jsp write file file exist file content wrote file file exist contain content includ field shouldn mutat user includ version field shouldn mutat user physic type chang determin local metadata identif proce downstream depend relationship regist regist event deliv instanc specif downstream depend process 
VARSIG19	javatyp type type 
VARSIG1	componentcontext compon context context 
VARSIG18	except 
VARSIG0	componentcontext compon context context 
VARSIG17	imagepath imag path 
MTHSIG4	getelegiblefield eleg field 
VARSIG12	fieldmetadata field metadata fieldmetadata field metadata 
MTHSIG5	hasmut mutat fieldmetadata field metadata fieldmetadata field metadata 
VARSIG11	methodmetadata metadata 
MTHSIG6	isrooidentifi roo identifi javatyp type type 
VARSIG10	ioexcept except ioe 
MTHSIG7	notifi upstreamdepend upstream depend downstreamdepend downstream depend 
MTHSIG0	activ componentcontext compon context context 
VARSIG16	downstreamdepend downstream depend 
MTHSIG1	deactiv componentcontext compon context context 
VARSIG15	upstreamdepend upstream depend 
PACKAGE	springframework roo addon web mvc jsp 
MTHSIG2	metadataidentificationstr metadata identif 
VARSIG14	javatyp type type 
MTHSIG3	writetodiskifnecessari write disk jspfilenam jsp filenam document propos 
VARSIG13	methodmetadata metadata mutat 
MTHSIG8	getprovidestyp type 
MTHSIG9	installimag instal imag imagepath imag path 
CLASSES	jspmetadatalisten jsp metadata listen 
METHODS	activ deactiv writetodiskifnecessari write disk getelegiblefield eleg field hasmut mutat isrooidentifi roo identifi notifi getprovidestyp type installimag instal imag getplur plural 
MTHSIG10	getplur plural javatyp type type 
VARIABLES	context context metadataidentificationstr metadata identif findernam finder paramnam jspfilenam jsp filenam propos ioe fieldmetadata field metadata mutat type upstreamdepend upstream depend downstreamdepend downstream depend imagepath imag path type metadatadependencyregistri metadata depend registri filemanag file manag metadataservic metadata servic menuoper menu oper jspoper jsp oper pathresolv path resolv tilesoper tile oper propfileoper prop file oper typelocationservic type locat servic pluralcach plural cach beaninfometadata bean info metadata javatyp type path webscaffoldmetadatakei web scaffold metadata kei webscaffoldmetadata web scaffold metadata beaninfometadatakei bean info metadata kei entitymetadatakei entiti metadata kei beaninfometadata bean info metadata entitymetadata entiti metadata findermetadatakei finder metadata kei findermetadata finder metadata projectmetadata project metadata elegiblefield eleg field viewmanag view manag controllerpath control path destinationdirectori destin directori file listpath list path showpath path categorynam categori listpath list path listpath list path resourceid resourc pluralresourceid plural resourc fieldnam field field fieldresourceid field resourc pluralmetadata plural metadata allowedmenuitem allow menu item listpath list path finderlabel finder label origin mutablefil mutabl file bytearrayoutputstream arrai output stream jspcontent jsp content field propertynam properti field physicaltypemetadata physic type metadata cid javatyp type path imagefil imag file pluralmetadata plural metadata 
