VARSIG2	modifi 
COMMENTS	assist creation link builder type eventu implement link identifiablejavastructur identifi structur 
CLASSES	abstractidentifiablejavastructurebuild identifi structur builder 
VARSIG1	identifiablejavastructur identifi structur exist 
VARSIG0	declaredbymetadataid declar metadata 
METHODS	abstractidentifiablejavastructurebuild identifi structur builder abstractidentifiablejavastructurebuild identifi structur builder getdeclaredbymetadataid declar metadata getmodifi modifi setmodifi set modifi 
MTHSIG4	setmodifi set modifi modifi 
MTHSIG0	abstractidentifiablejavastructurebuild identifi structur builder declaredbymetadataid declar metadata 
MTHSIG1	abstractidentifiablejavastructurebuild identifi structur builder identifiablejavastructur identifi structur exist 
PACKAGE	springframework roo classpath detail 
MTHSIG2	getdeclaredbymetadataid declar metadata 
MTHSIG3	getmodifi modifi 
VARIABLES	declaredbymetadataid declar metadata exist modifi declaredbymetadataid declar metadata modifi 
