VARSIG7	itdfilename filename
VARSIG6	physicaltypemetadata physical type metadata governorphysicaltypemetadata governor physical type metadata
VARSIG9	javatype type javatype type
VARSIG8	metadataidentificationstring metadata identification
VARSIG3	configurablemetadataprovider configurable metadata provider configurablemetadataprovider configurable metadata provider
VARSIG2	filemanager file manager filemanager file manager
VARSIG5	javatype type aspectname aspect
VARSIG4	metadataidentificationstring metadata identification
COMMENTS	link integrationtestmetadata integration test metadata dod classes configurable dod classes provide relationships governor type details safely parse annotation expect lookup dod dod metadata dod conform dod naming conventions lookup entity entity metadata abort couldn find dependent metadata illegalstateexception illegal exception integration test provider unable locate details persistent type javatype type getfullyqualifiedtypename fully qualified type informed dependent metadata monitor parent type parent trickle governing type
CLASSES	integrationtestmetadataprovider integration test metadata provider
VARSIG1	metadatadependencyregistry metadata dependency registry metadatadependencyregistry metadata dependency registry
VARSIG0	metadataservice metadata service metadataservice metadata service
METHODS	integrationtestmetadataprovider integration test metadata provider getmetadata metadata getitduniquenessfilenamesuffix uniqueness filename suffix getgovernorphysicaltypeidentifier governor physical type identifier createlocalidentifier create local identifier getprovidestype type
MTHSIG4	createlocalidentifier create local identifier javatype type javatype type path path
MTHSIG5	getprovidestype type
VARSIG10	path path
MTHSIG0	integrationtestmetadataprovider integration test metadata provider metadataservice metadata service metadataservice metadata service metadatadependencyregistry metadata dependency registry metadatadependencyregistry metadata dependency registry filemanager file manager filemanager file manager configurablemetadataprovider configurable metadata provider configurablemetadataprovider configurable metadata provider
MTHSIG1	getmetadata metadata metadataidentificationstring metadata identification javatype type aspectname aspect physicaltypemetadata physical type metadata governorphysicaltypemetadata governor physical type metadata itdfilename filename
PACKAGE	springframework roo addon test
MTHSIG2	getitduniquenessfilenamesuffix uniqueness filename suffix
MTHSIG3	getgovernorphysicaltypeidentifier governor physical type identifier metadataidentificationstring metadata identification
VARIABLES	metadataservice metadata service metadatadependencyregistry metadata dependency registry filemanager file manager configurablemetadataprovider configurable metadata provider metadataidentificationstring metadata identification aspectname aspect governorphysicaltypemetadata governor physical type metadata itdfilename filename metadataidentificationstring metadata identification javatype type path annotationvalues annotation values dodjavatype dod type dataondemandmetadatakey data demand metadata key dataondemandmetadata data demand metadata javatype type path entitymetadatakey entity metadata key entitymetadata entity metadata identifieraccessormethod identifier accessor versionaccessormethod version accessor countmethod count findmethod find findallmethod find findentriesmethods find entries methods flushmethod flush mergemethod merge persistmethod persist removemethod remove javatype type path physicaltypeidentifier physical type identifier
