MTHSIG0	integrationtestcommands integration test commands integrationtestoperations integration test operations integrationtestoperations integration test operations classpathoperations classpath operations classpathoperations classpath operations
VARSIG3	clioption cli option key permitreservedwords permit reserved mandatory unspecifieddefaultvalue unspecified specifieddefaultvalue reserved roo permitreservedwords permit reserved
MTHSIG1	isavailable
VARSIG2	clioption cli option key entity mandatory unspecifieddefaultvalue unspecified optioncontext option context update project entity mock test targeting javatype type entity
PACKAGE	springframework roo addon test
MTHSIG2	newmocktest mock test javatype type entity permitreservedwords permit reserved
COMMENTS	shell commands link integrationtestoperations integration test operations
CLASSES	integrationtestcommands integration test commands
VARIABLES	integrationtestoperations integration test operations classpathoperations classpath operations entity permitreservedwords permit reserved integrationtestoperations integration test operations classpathoperations classpath operations
VARSIG1	classpathoperations classpath operations classpathoperations classpath operations
VARSIG0	integrationtestoperations integration test operations integrationtestoperations integration test operations
METHODS	integrationtestcommands integration test commands isavailable newmocktest mock test
