MTHSIG28	getsetvaluepickermethodnam set picker 
VARSIG7	accessormethodnam accessor 
MTHSIG29	iscollectionofproxi collect proxi 
VARSIG6	 
MTHSIG26	isembedd embedd 
VARSIG9	javatyp type javatyp type 
MTHSIG27	getsetvaluepickermethod set picker 
VARSIG8	projectmetadata project metadata pmd 
MTHSIG24	iscollect collect 
VARSIG3	projectmetadata project metadata projectmetadata project metadata 
MTHSIG25	isenum 
VARSIG2	physicaltypemetadata physic type metadata ptmd 
MTHSIG22	formobilelistview mobil list view renderernam render 
VARSIG5	physicaltypemetadata physic type metadata ptmd 
MTHSIG23	isproxi proxi 
VARSIG4	javatyp type type 
COMMENTS	todo ugli hack 
VARSIG1	javatyp type type 
VARSIG0	projectmetadata project metadata projectmetadata project metadata 
MTHSIG4	gettyp type 
MTHSIG5	getpropertytyp properti type 
VARSIG11	annotationmetadata annot metadata annot 
MTHSIG6	isboolean 
VARSIG10	renderernam render 
MTHSIG7	isdat 
MTHSIG0	gwtproxyproperti gwt proxi properti projectmetadata project metadata projectmetadata project metadata javatyp type type physicaltypemetadata physic type metadata ptmd 
MTHSIG1	gwtproxyproperti gwt proxi properti projectmetadata project metadata projectmetadata project metadata javatyp type type physicaltypemetadata physic type metadata ptmd accessormethodnam accessor 
PACKAGE	springframework roo addon gwt 
MTHSIG2	getnam 
MTHSIG3	getgett getter 
MTHSIG20	getreadablenam readabl 
MTHSIG21	foreditview edit view 
MTHSIG8	isprimit primit 
MTHSIG9	isstr 
MTHSIG17	getproxyrenderertyp proxi render type 
MTHSIG18	getproxyrenderertyp proxi render type projectmetadata project metadata pmd javatyp type javatyp type 
MTHSIG15	getformatt formatt 
MTHSIG16	getrender render 
MTHSIG13	geteditor editor 
MTHSIG14	getcollectionrender collect render 
MTHSIG11	getseteditor set editor 
MTHSIG12	getseteditortyp set editor type 
CLASSES	gwtproxyproperti gwt proxi properti 
METHODS	gwtproxyproperti gwt proxi properti gwtproxyproperti gwt proxi properti getnam getgett getter gettyp type getpropertytyp properti type isboolean isdat isprimit primit isstr getbind binder getseteditor set editor getseteditortyp set editor type geteditor editor getcollectionrender collect render getformatt formatt getrender render getproxyrenderertyp proxi render type getproxyrenderertyp proxi render type getcheckboxsubtyp checkbox subtyp getreadablenam readabl foreditview edit view formobilelistview mobil list view isproxi proxi iscollect collect isenum isembedd embedd getsetvaluepickermethod set picker getsetvaluepickermethodnam set picker iscollectionofproxi collect proxi getvaluetyp type 
MTHSIG19	getcheckboxsubtyp checkbox subtyp 
MTHSIG10	getbind binder 
VARIABLES	projectmetadata project metadata type ptmd projectmetadata project metadata type ptmd accessormethodnam accessor pmd javatyp type renderernam render annot projectmetadata project metadata getter type ptmd typenam type arg initi annot 
MTHSIG30	getvaluetyp type 
