VARSIG7	fieldmetadata field metadata field 
VARSIG6	fieldmetadata field metadata field 
VARSIG9	metadataidentificationstr metadata identif 
VARSIG8	except 
VARSIG3	javatyp type aspectnam aspect 
VARSIG2	metadataidentificationstr metadata identif 
VARSIG5	itdfilenam filenam 
VARSIG4	physicaltypemetadata physic type metadata governorphysicaltypemetadata governor physic type metadata 
COMMENTS	link javabeanmetadata bean metadata work mid metadata depend don happen 
VARSIG1	componentcontext compon context context 
VARSIG0	componentcontext compon context context 
MTHSIG4	getitduniquenessfilenamesuffix uniqu filenam suffix 
VARSIG12	classorinterfacetypedetail type detail governortypedetail governor type detail 
MTHSIG5	getgovernorphysicaltypeidentifi governor physic type identifi metadataidentificationstr metadata identif 
VARSIG11	path path 
MTHSIG6	createlocalidentifi creat local identifi javatyp type javatyp type path path 
VARSIG10	javatyp type javatyp type 
MTHSIG7	getprovidestyp type 
MTHSIG0	activ componentcontext compon context context 
VARSIG16	fieldmetadata field metadata field 
MTHSIG1	deactiv componentcontext compon context context 
VARSIG15	memberholdingtypedetail member hold type detail member 
PACKAGE	springframework roo addon javabean 
MTHSIG2	getmetadata metadata metadataidentificationstr metadata identif javatyp type aspectnam aspect physicaltypemetadata physic type metadata governorphysicaltypemetadata governor physic type metadata itdfilenam filenam 
VARSIG14	annotationmetadata annot metadata fieldannot field annot 
MTHSIG3	isgaeinterest gae interest fieldmetadata field metadata field 
VARSIG13	annotationmetadata annot metadata annot 
MTHSIG8	getidentifierfield identifi field classorinterfacetypedetail type detail governortypedetail governor type detail 
CLASSES	javabeanmetadataprovid bean metadata provid 
METHODS	activ deactiv getmetadata metadata isgaeinterest gae interest getitduniquenessfilenamesuffix uniqu filenam suffix getgovernorphysicaltypeidentifi governor physic type identifi createlocalidentifi creat local identifi getprovidestyp type getidentifierfield identifi field 
VARIABLES	context context metadataidentificationstr metadata identif aspectnam aspect governorphysicaltypemetadata governor physic type metadata itdfilenam filenam field field metadataidentificationstr metadata identif javatyp type path governortypedetail governor type detail annot fieldannot field annot member field projectoper project oper typelocationservic type locat servic projectmetadata project metadata declaredfield declar field physicaltypedetail physic type detail governortypedetail governor type detail fieldtyp field type classorinterfacetypedetail type detail identifierfield identifi field javatyp type path possibleidentifierfield identifi field 
