MTHSIG28	getproviderxpath provid path ormprovid orm provid provid 
MTHSIG29	getproviderxpath provid path list ormprovid orm provid ormprovid orm provid 
MTHSIG26	getdbxpath path jdbcdatabas jdbc databas jdbcdatabas jdbc databas 
MTHSIG27	getdbxpath path list jdbcdatabas jdbc databas databas 
MTHSIG24	cleanup element configur ormprovid orm provid ormprovid orm provid jdbcdatabas jdbc databas jdbcdatabas jdbc databas 
MTHSIG25	removeartifact remov artifact xpathexpress path express element root element configur 
MTHSIG22	updateeclipseplugin updat plugin addbuildcommand add build command 
MTHSIG23	updateeclipseplugin updat plugin addbuildcommand add build command document pom mutablefil mutabl file mutablefil mutabl file 
MTHSIG4	getpersistencepath persist path 
VARSIG78	element configur 
MTHSIG5	getdatabasepropertiespath databas properti path 
VARSIG77	filter filter 
MTHSIG6	configurejpa configur jpa ormprovid orm provid ormprovid orm provid jdbcdatabas jdbc databas jdbcdatabas jdbc databas jndi applicationid applic hostnam host databasenam databas usernam user password persistenceunit persist unit 
VARSIG76	element filterel filter element 
MTHSIG7	updateapplicationcontext updat applic context ormprovid orm provid ormprovid orm provid jdbcdatabas jdbc databas jdbcdatabas jdbc databas jndi persistenceunit persist unit 
VARSIG75	element filterel filter element 
MTHSIG0	isjpainstallationposs jpa instal 
MTHSIG1	isjpainstal jpa instal 
VARSIG120	except 
MTHSIG2	hasdatabaseproperti databas properti 
VARSIG121	element propertyel properti element 
MTHSIG3	getdatabaseproperti databas properti 
VARSIG79	ormprovid orm provid ormprovid orm provid 
MTHSIG20	updateresourc updat resourc element configur ormprovid orm provid ormprovid orm provid jdbcdatabas jdbc databas jdbcdatabas jdbc databas 
VARSIG70	element pluginrepositoryel plugin repositori element 
MTHSIG21	updatebuildplugin updat build plugin element configur ormprovid orm provid ormprovid orm provid jdbcdatabas jdbc databas jdbcdatabas jdbc databas 
MTHSIG8	updatepersistencexml updat persist xml ormprovid orm provid ormprovid orm provid jdbcdatabas jdbc databas jdbcdatabas jdbc databas hostnam host databasenam databas usernam user password persistenceunit persist unit 
VARSIG74	jdbcdatabas jdbc databas jdbcdatabas jdbc databas 
MTHSIG9	getconnectionstr connect jdbcdatabas jdbc databas jdbcdatabas jdbc databas hostnam host databasenam databas 
VARSIG73	ormprovid orm provid ormprovid orm provid 
VARSIG72	element configur 
VARSIG71	element pluginrepositoryel plugin repositori element 
METHODS	isjpainstallationposs jpa instal isjpainstal jpa instal hasdatabaseproperti databas properti getdatabaseproperti databas properti getpersistencepath persist path getdatabasepropertiespath databas properti path configurejpa configur jpa updateapplicationcontext updat applic context updatepersistencexml updat persist xml getconnectionstr connect updategaexml updat gae xml updatedatabaseproperti updat databas properti updatevmforceconfigproperti updat mforc config properti updatelog updat log updatepomproperti updat pom properti updatedepend updat depend getprojectnam project updaterepositori updat repositori updatepluginrepositori updat plugin repositori updatefilt updat filter updateresourc updat resourc updatebuildplugin updat build plugin updateeclipseplugin updat plugin updateeclipseplugin updat plugin cleanup removeartifact remov artifact getdbxpath path getdbxpath path getproviderxpath provid path getproviderxpath provid path createpropertyel creat properti element createrefel creat element getpropertiesfromdatanucleusconfigur properti data nucleu configur 
VARSIG67	element configur 
VARSIG66	element repositoryel repositori element 
VARSIG65	element repositoryel repositori element 
VARSIG64	element repositoryel repositori element 
VARSIG69	jdbcdatabas jdbc databas jdbcdatabas jdbc databas 
VARSIG110	jdbcdatabas jdbc databas jdbcdatabas jdbc databas 
VARSIG68	ormprovid orm provid ormprovid orm provid 
VARSIG111	list jdbcdatabas jdbc databas databas 
MTHSIG31	createrefel creat element document doc 
VARSIG112	ormprovid orm provid provid 
MTHSIG32	getpropertiesfromdatanucleusconfigur properti data nucleu configur 
VARSIG113	list ormprovid orm provid ormprovid orm provid 
