VARSIG2	fieldtoken field token 
COMMENTS	token repres field jpa entiti 
CLASSES	fieldtoken field token 
VARSIG1	javasymbolnam symbol fieldnam field 
VARSIG0	fieldmetadata field metadata field 
METHODS	fieldtoken field token getvalu getfieldnam field setfieldnam set field getfield field compareto compar 
MTHSIG4	getfield field 
MTHSIG5	compareto compar fieldtoken field token 
MTHSIG0	fieldtoken field token fieldmetadata field metadata field 
MTHSIG1	getvalu 
PACKAGE	springframework roo addon finder 
MTHSIG2	getfieldnam field 
MTHSIG3	setfieldnam set field javasymbolnam symbol fieldnam field 
VARIABLES	field fieldnam field field fieldnam field 
