VARSIG7	clioption cli option kei mandatori path control object creat javatyp type control 
VARSIG6	clioption cli option kei mandatori optioncontext option context updat control javapackag javapackag 
VARSIG9	clioption cli option kei path mandatori base path control listen rest re tful request default simpl form back object path 
VARSIG8	clioption cli option kei entiti mandatori optioncontext option context updat project unspecifieddefaultvalu unspecifi entiti object control expos web tier javatyp type entiti 
VARSIG3	clioption cli option kei path mandatori base path control listen rest re tful request default simpl form back object path 
VARSIG2	clioption cli option kei backingtyp back type mandatori optioncontext option context updat project unspecifieddefaultvalu unspecifi form back type control expos web tier javatyp type backingtyp back type 
VARSIG5	oper 
VARSIG4	clioption cli option kei disallowedoper disallow oper mandatori comma separ list oper creat updat delet allow gener control disallowedoper disallow oper 
COMMENTS	command mvc control add roo shell 
CLASSES	controllercommand control command 
VARSIG1	clioption cli option kei mandatori path control object creat javatyp type control 
VARSIG0	clioption cli option kei mandatori optioncontext option context updat control javapackag javapackag 
METHODS	isscaffoldavail scaffold isnewcontrolleravail control webmvcal web mvc webmvcscaffold web mvc scaffold generateal gener newcontrol control 
MTHSIG4	generateal gener javapackag javapackag 
MTHSIG5	newcontrol control javatyp type control javatyp type entiti path disallowedoper disallow oper 
VARSIG10	clioption cli option kei disallowedoper disallow oper mandatori comma separ list oper creat updat delet allow gener control disallowedoper disallow oper 
MTHSIG0	isscaffoldavail scaffold 
MTHSIG1	isnewcontrolleravail control 
PACKAGE	springframework roo addon web mvc control 
MTHSIG2	webmvcal web mvc javapackag javapackag 
MTHSIG3	webmvcscaffold web mvc scaffold javatyp type control javatyp type backingtyp back type path disallowedoper disallow oper 
VARIABLES	javapackag control backingtyp back type path disallowedoper disallow oper oper javapackag control entiti path disallowedoper disallow oper logger controlleroper control oper metadataservic metadata servic projectmetadata project metadata physicaltypemetadata physic type metadata disallowedoperationset disallow oper set pluralmetadata plural metadata 
