VARSIG7	jsfimplement jsf implement implement 
VARSIG6	except 
VARSIG9	element root 
VARSIG8	xpathexpress path express 
VARSIG3	jsfimplement jsf implement jsfimplement jsf implement 
VARSIG2	except 
VARSIG5	jsfimplement jsf implement jsfimplement jsf implement 
VARSIG4	element configur 
COMMENTS	implement link jsfoper jsf oper creat jsf manag bean entiti remov unnecessari artifact specif current jsf implement updat pom xml jsf primefac depend repositori remov unwant depend check entiti metadata jsf metadata listen jsf manag bean entiti listen manag bean add type exist creat type annot manag bean 
VARSIG19	element repositoryel repositori element 
VARSIG1	javapackag destinationpackag destin 
VARSIG18	jsfimplement jsf implement jsfimplement jsf implement 
VARSIG0	jsfimplement jsf implement jsfimplement jsf implement 
VARSIG17	element configur 
MTHSIG4	haswebxml web xml 
VARSIG12	element dependencyel depend element 
MTHSIG5	getwebxmlfil web xml file 
VARSIG11	element candid 
MTHSIG6	copywebxml copi web xml 
VARSIG10	element configur 
MTHSIG7	updateconfigur updat configur jsfimplement jsf implement jsfimplement jsf implement 
MTHSIG0	issetupavail setup 
VARSIG16	element dependencyel depend element 
MTHSIG1	isscaffoldavail scaffold 
VARSIG15	element dependencyel depend element 
PACKAGE	springframework roo addon jsf 
MTHSIG2	setup jsfimplement jsf implement jsfimplement jsf implement 
VARSIG14	jsfimplement jsf implement jsfimplement jsf implement 
MTHSIG3	generateal gener javapackag destinationpackag destin 
VARSIG13	element configur 
MTHSIG8	cleanup element configur jsfimplement jsf implement jsfimplement jsf implement 
MTHSIG9	removeartifact remov artifact xpathexpress path express element root element configur 
MTHSIG15	getimplementationxpath implement path jsfimplement jsf implement jsfimplement jsf implement 
MTHSIG13	createmanagedbean creat manag bean javatyp type managedbean manag bean javatyp type entiti 
MTHSIG14	getimplementationxpath implement path list jsfimplement jsf implement jsfimplement jsf implement 
MTHSIG11	updaterepositori updat repositori element configur jsfimplement jsf implement jsfimplement jsf implement 
MTHSIG12	generatemanagedbean gener manag bean javapackag destinationpackag destin 
CLASSES	jsfoperationsimpl jsf oper impl 
METHODS	issetupavail setup isscaffoldavail scaffold setup generateal gener haswebxml web xml getwebxmlfil web xml file copywebxml copi web xml updateconfigur updat configur cleanup removeartifact remov artifact updatedepend updat depend updaterepositori updat repositori generatemanagedbean gener manag bean createmanagedbean creat manag bean getimplementationxpath implement path getimplementationxpath implement path 
VARSIG23	javatyp type managedbean manag bean 
VARSIG22	classorinterfacetypedetail type detail cid 
VARSIG21	javapackag destinationpackag destin 
VARSIG20	element repositoryel repositori element 
VARSIG26	jsfimplement jsf implement jsfimplement jsf implement 
VARSIG25	list jsfimplement jsf implement jsfimplement jsf implement 
VARSIG24	javatyp type entiti 
MTHSIG10	updatedepend updat depend element configur jsfimplement jsf implement jsfimplement jsf implement 
VARIABLES	jsfimplement jsf implement destinationpackag destin jsfimplement jsf implement configur jsfimplement jsf implement implement xpathexpress path express root configur candid dependencyel depend element configur jsfimplement jsf implement dependencyel depend element dependencyel depend element configur jsfimplement jsf implement repositoryel repositori element repositoryel repositori element destinationpackag destin cid managedbean manag bean entiti jsfimplement jsf implement jsfimplement jsf implement primefac xpath filemanag file manag dependencyregistri depend registri metadataservic metadata servic projectoper project oper typelocationservic type locat servic typemanagementservic type manag servic shell inputstream input stream webxml web xml projectnam project configur pompath pom path mutablefil mutabl file pom root jsfimplement jsf implement haschang chang dependenciesel depend element depend jsfimplementationdepend jsf implement depend jsflibrarydepend jsf librari depend repositori jsfrepositori jsf repositori jsflibraryrepositori jsf librari repositori cid entiti path entitymetadata entiti metadata downstreamjsfmetadataid downstream jsf metadata managedbean manag bean attribut declaredbymetadataid declar metadata typedetailsbuild type detail builder builder 
