MTHSIG28	getfindmethod find 
MTHSIG29	getgaefindmethodbodi gae find bodi 
MTHSIG26	getcountmethod count 
MTHSIG27	getfindallmethod find 
MTHSIG24	addtransactionalannot add transact annot list annotationmetadatabuild annot metadata builder annot 
MTHSIG25	getentitymanagermethod entiti manag 
MTHSIG22	getdelegatemethod deleg javasymbolnam symbol methodnam entitymanagerdeleg entiti manag deleg 
MTHSIG23	addtransactionalannot add transact annot list annotationmetadatabuild annot metadata builder annot ispersistmethod persist 
MTHSIG4	gettypeannot type annot javatyp type annotationtyp annot type 
MTHSIG5	gettableannot tabl annot 
MTHSIG6	getinheritanceannot inherit annot 
MTHSIG7	getdiscriminatorcolumnannot discrimin column annot 
MTHSIG0	entitymetadata entiti metadata identifi javatyp type aspectnam aspect physicaltypemetadata physic type metadata governorphysicaltypemetadata governor physic type metadata entitymetadata entiti metadata parent projectmetadata project metadata projectmetadata project metadata entityannotationvalu entiti annot valu annotationvalu annot valu noargconstructor arg constructor plural memberdetail member detail memberdetail member detail list identifi identifierserviceresult identifi servic result 
MTHSIG1	processannot process annot list identifi identifierserviceresult identifi servic result 
PACKAGE	springframework roo addon entiti 
MTHSIG2	getentityannot entiti annot 
MTHSIG3	getmappedsuperclassannot map superclass annot 
MTHSIG20	getclearmethod clear 
MTHSIG21	getmergemethod merg 
MTHSIG8	getentitymanagerfield entiti manag field 
MTHSIG9	getnoargconstructor arg constructor 
MTHSIG39	getpath path metadataidentificationstr metadata identif 
MTHSIG37	createidentifi creat identifi javatyp type javatyp type path path 
MTHSIG38	getjavatyp type metadataidentificationstr metadata identif 
MTHSIG35	tostr 
MTHSIG36	getmetadataidentifiertyp metadata identifi type 
MTHSIG33	getplur plural 
MTHSIG34	getentitynam entiti 
CLASSES	entitymetadata entiti metadata 
METHODS	entitymetadata entiti metadata processannot process annot getentityannot entiti annot getmappedsuperclassannot map superclass annot gettypeannot type annot gettableannot tabl annot getinheritanceannot inherit annot getdiscriminatorcolumnannot discrimin column annot getentitymanagerfield entiti manag field getnoargconstructor arg constructor getidentifierfield identifi field getidentifierfield identifi field getidentifieraccessor identifi accessor getidentifiermut identifi mutat getversionfield version field getversionaccessor version accessor getversionmut version mutat getpersistmethod persist getremovemethod remov getflushmethod flush getclearmethod clear getmergemethod merg getdelegatemethod deleg addtransactionalannot add transact annot addtransactionalannot add transact annot getentitymanagermethod entiti manag getcountmethod count getfindallmethod find getfindmethod find getgaefindmethodbodi gae find bodi getfindentriesmethod find entri addsuppresswarn add suppress warn getdynamicfind dynam finder getplur plural getentitynam entiti tostr getmetadataidentifiertyp metadata identifi type createidentifi creat identifi getjavatyp type getpath path isvalid valid 
VARSIG23	path path 
VARSIG22	javatyp type javatyp type 
VARSIG21	list annotationmetadatabuild annot metadata builder annot 
VARSIG20	javasymbolnam symbol 
VARSIG26	metadataidentificationstr metadata identif 
VARSIG25	metadataidentificationstr metadata identif 
VARSIG24	metadataidentificationstr metadata identif 
MTHSIG31	addsuppresswarn add suppress warn list annotationmetadatabuild annot metadata builder annot 
MTHSIG32	getdynamicfind dynam finder 
MTHSIG30	getfindentriesmethod find entri 
VARSIG7	plural 
VARSIG6	noargconstructor arg constructor 
VARSIG9	list identifi identifierserviceresult identifi servic result 
VARSIG8	memberdetail member detail memberdetail member detail 
VARSIG3	entitymetadata entiti metadata parent 
