MTHSIG4	getcustomdatakei custom data kei 
VARSIG34	annotationmetadata annot metadata annotationmetadata annot metadata 
MTHSIG5	gettagvalu tag methodmetadata metadata kei 
VARSIG33	memberholdingtypedetail member hold type detail memberholdingtypedetail member hold type detail 
MTHSIG6	match list memberholdingtypedetail member hold type detail memberholdingtypedetailslist member hold type detail list 
VARSIG32	singular 
MTHSIG7	getinflectorplur inflector plural term local local 
VARSIG31	list memberholdingtypedetail member hold type detail memberholdingtypedetailslist member hold type detail list 
MTHSIG0	methodmatch matcher list fieldmatch field matcher fieldtagg field tagger customdatakei custom data kei methodmetadata metadata customdatakei custom data kei isaccessor accessor 
MTHSIG1	methodmatch matcher customdatakei custom data kei methodmetadata metadata customdatakei custom data kei javatyp type catalystannotationtyp catalyst annot type javasymbolnam symbol userdefinednameattribut user defin attribut defaultnam 
PACKAGE	springframework roo classpath customdata tagger 
MTHSIG2	methodmatch matcher customdatakei custom data kei methodmetadata metadata customdatakei custom data kei javatyp type catalystannotationtyp catalyst annot type javasymbolnam symbol userdefinednameattribut user defin attribut defaultnam suffixplur suffix plural suffixsingular suffix singular 
VARSIG36	fieldmatch field matcher fieldtagg field tagger 
MTHSIG3	methodmatch matcher customdatakei custom data kei methodmetadata metadata customdatakei custom data kei javatyp type catalystannotationtyp catalyst annot type javasymbolnam symbol userdefinednameattribut user defin attribut defaultnam suffixplur suffix plural suffixsingular suffix singular additionalsuffix addit suffix 
VARSIG35	list memberholdingtypedetail member hold type detail memberholdingtypedetailslist member hold type detail list 
MTHSIG8	getuserdefinedmethod user defin list memberholdingtypedetail member hold type detail memberholdingtypedetailslist member hold type detail list 
VARSIG30	annotationmetadata annot metadata annotationmetadata annot metadata 
MTHSIG9	getsuffix suffix list memberholdingtypedetail member hold type detail memberholdingtypedetailslist member hold type detail list singular 
CLASSES	methodmatch matcher 
VARSIG29	memberholdingtypedetail member hold type detail memberholdingtypedetail member hold type detail 
VARSIG28	list memberholdingtypedetail member hold type detail memberholdingtypedetailslist member hold type detail list 
METHODS	methodmatch matcher methodmatch matcher methodmatch matcher methodmatch matcher getcustomdatakei custom data kei gettagvalu tag match getinflectorplur inflector plural getuserdefinedmethod user defin getsuffix suffix getfieldsinterestedin field interest getprefix prefix 
VARSIG23	memberholdingtypedetail member hold type detail memberholdingtypedetail member hold type detail 
VARSIG22	fieldmetadata field metadata fieldmetadata field metadata 
VARSIG21	list memberholdingtypedetail member hold type detail memberholdingtypedetailslist member hold type detail list 
VARSIG20	methodmetadata metadata kei 
VARSIG27	runtimeexcept runtim except 
VARSIG26	local local 
VARSIG25	term 
VARSIG24	methodmetadata metadata methodmetadata metadata 
VARSIG7	customdatakei custom data kei methodmetadata metadata customdatakei custom data kei 
VARSIG6	defaultnam 
VARSIG9	javasymbolnam symbol userdefinednameattribut user defin attribut 
VARSIG8	javatyp type catalystannotationtyp catalyst annot type 
VARSIG3	customdatakei custom data kei methodmetadata metadata customdatakei custom data kei 
VARSIG2	isaccessor accessor 
VARSIG5	javasymbolnam symbol userdefinednameattribut user defin attribut 
VARSIG4	javatyp type catalystannotationtyp catalyst annot type 
COMMENTS	link methodmetadata metadata specif implement link matcher match base field dynam determin base link fieldmatch field matcher present type accessor mutat user roo annot plural singular suffix referenc entiti addit suffix return plural term inflector attent rooplur roo plural account getplur plural term term plural local local plural term inflector fail roo don plural 
VARSIG19	additionalsuffix addit suffix 
VARSIG1	customdatakei custom data kei methodmetadata metadata customdatakei custom data kei 
VARSIG18	suffixsingular suffix singular 
VARSIG0	list fieldmatch field matcher fieldtagg field tagger 
VARSIG17	suffixplur suffix plural 
VARSIG12	suffixsingular suffix singular 
VARSIG11	suffixplur suffix plural 
VARSIG10	defaultnam 
VARSIG16	defaultnam 
VARSIG15	javasymbolnam symbol userdefinednameattribut user defin attribut 
VARSIG14	javatyp type catalystannotationtyp catalyst annot type 
VARSIG13	customdatakei custom data kei methodmetadata metadata customdatakei custom data kei 
MTHSIG11	getprefix prefix 
MTHSIG10	getfieldsinterestedin field interest list memberholdingtypedetail member hold type detail memberholdingtypedetailslist member hold type detail list 
VARIABLES	fieldtagg field tagger customdatakei custom data kei isaccessor accessor customdatakei custom data kei catalystannotationtyp catalyst annot type userdefinednameattribut user defin attribut defaultnam customdatakei custom data kei catalystannotationtyp catalyst annot type userdefinednameattribut user defin attribut defaultnam suffixplur suffix plural suffixsingular suffix singular customdatakei custom data kei catalystannotationtyp catalyst annot type userdefinednameattribut user defin attribut defaultnam suffixplur suffix plural suffixsingular suffix singular additionalsuffix addit suffix kei memberholdingtypedetailslist member hold type detail list fieldmetadata field metadata memberholdingtypedetail member hold type detail methodmetadata metadata term local memberholdingtypedetailslist member hold type detail list memberholdingtypedetail member hold type detail annotationmetadata annot metadata memberholdingtypedetailslist member hold type detail list singular memberholdingtypedetail member hold type detail annotationmetadata annot metadata memberholdingtypedetailslist member hold type detail list fieldtagg field tagger fieldtagg field tagger isaccessor accessor customdatakei custom data kei catalystannotationtyp catalyst annot type userdefinednameattribut user defin attribut defaultnam suffixplur suffix plural suffixsingular suffix singular additionalsuffix addit suffix field method fieldnam field name userdefinedmethodnam user defin suffix annotationattributevalu annot attribut plural annotationattributevalu annot attribut field 
