VARSIG7	proxi 
VARSIG6	eventbu event bu eventbu event bu 
VARSIG9	wait 
VARSIG8	suppresswarn suppress warn unus save 
VARSIG3	ignor 
VARSIG2	serverfailur server failur error 
VARSIG5	acceptsonewidget accept widget displai 
VARSIG4	set violat error 
COMMENTS	activ edit record subclass provid access request fire save click instanc reusabl activ stop restart type proxi edit callback editordriv editor driver stop midflight warn maystop defeat ischang chang check defeat call flight check call creat request save request context fire save button click call user cancel save implement tell link placecontrol place control detail edit record save comit user cancel proxi edit mutabl typic call link requestcontext request context edit entityproxi entiti proxi link requestcontext request context creat type match proxi type wait rpc respons wait respons poke setter proxi call editordriv editor driver flush set wait flag warn disabl view 
VARSIG1	placecontrol place control placecontrol place control 
VARSIG0	proxyeditview proxi edit view view 
MTHSIG4	onstop 
MTHSIG5	saveclick save click 
MTHSIG6	start acceptsonewidget accept widget displai eventbu event bu eventbu event bu 
MTHSIG7	createsaverequest creat save request proxi 
MTHSIG0	abstractproxyeditact proxi edit activ proxyeditview proxi edit view view placecontrol place control placecontrol place control 
MTHSIG1	cancelclick cancel click 
PACKAGE	top level client scaffold place 
MTHSIG2	maystop 
MTHSIG3	oncancel cancel 
MTHSIG8	exit save 
MTHSIG9	getproxi proxi 
MTHSIG13	setwait set wait wait 
MTHSIG11	chang 
MTHSIG12	iswait wait 
CLASSES	abstractproxyeditact proxi edit activ 
METHODS	abstractproxyeditact proxi edit activ cancelclick cancel click maystop oncancel cancel onstop saveclick save click start createsaverequest creat save request exit getproxi proxi getproxyid proxi chang iswait wait setwait set wait 
MTHSIG10	getproxyid proxi 
VARIABLES	view placecontrol place control error ignor error displai eventbu event bu proxi save wait view placecontrol place control editordriv editor driver wait unsavedchangeswarn unsav warn request 
