VARSIG7	url url 
VARSIG6	gwtpath gwt path gwtpath gwt path 
VARSIG9	element persistenceunitel persist unit element 
VARSIG8	ioexcept except ioe 
VARSIG3	xpath 
VARSIG2	gwtpath gwt path path 
VARSIG5	element toremov remov 
VARSIG4	element webxmlroot web xml root 
COMMENTS	implement link gwtconfigserviceimpl gwt config servic impl todo work add custom xml manipul logic isgwtproject gwt project initialsetup initi setup add gwt natur builder name maven plugin add depend add pom plugin updat web xml updat persist xml copi directori isgwtproject gwt project gwtproject gwt project gwtproject gwt project pom projectoper project oper getpathresolv path resolv getidentifi identifi path root pom xml istru filemanag file manag exist pom pom xml document pomdoc pom doc getxmldocu xml document pom element pomroot pom root element pomdoc pom doc getfirstchild child list element pluginel plugin element xmlutil xml util findel find element project build plugin plugin pomroot pom root gwtproject gwt project element pluginel plugin element pluginel plugin element plugin plugin plugin pluginel plugin element maven plugin equal plugin getartifactid artifact maven plugin equal plugin getgroupid group gwtproject gwt project gwtproject gwt project read templat insert user user output file user add gae sdk specif jar systempath system path appenginelaunch app engin launcher happi add builder configur add addit natur gae plugin configur add gaenatur gae natur output directori 
VARSIG19	element dependencyel depend element 
VARSIG1	initialsetup initi setup 
VARSIG18	element configur 
VARSIG0	componentcontext compon context context 
VARSIG17	element pluginel plugin element 
MTHSIG4	getgaehookup gae hookup 
VARSIG12	ioexcept except 
MTHSIG5	updatepersistencexml updat persist xml 
VARSIG11	except 
MTHSIG6	getxmldocu xml document xmlfile xml file 
VARSIG10	xmlfile xml file 
MTHSIG7	updatedatanulcueusplugin updat data nulcueu plugin document pomxmldoc pom xml doc 
MTHSIG0	activ componentcontext compon context context 
VARSIG16	plugin existingbuildplugin exist build plugin 
MTHSIG1	updateconfigur updat configur initialsetup initi setup 
VARSIG15	element configur 
PACKAGE	springframework roo addon gwt 
MTHSIG2	removeiffound remov xpath element webxmlroot web xml root 
VARSIG14	element pluginel plugin element 
MTHSIG3	copydirectorycont copi directori content gwtpath gwt path gwtpath gwt path 
VARSIG13	document pomxmldoc pom xml doc 
MTHSIG8	updatewebxml updat web xml 
MTHSIG9	updateplugin updat plugin element configur 
MTHSIG11	updatemaveneclipseplugin updat maven plugin document pomdoc pom doc 
CLASSES	gwtconfigserviceimpl gwt config servic impl 
METHODS	activ updateconfigur updat configur removeiffound remov copydirectorycont copi directori content getgaehookup gae hookup updatepersistencexml updat persist xml getxmldocu xml document updatedatanulcueusplugin updat data nulcueu plugin updatewebxml updat web xml updateplugin updat plugin updatedepend updat depend updatemaveneclipseplugin updat maven plugin 
VARSIG23	element buildcommand build command 
VARSIG22	element pluginel plugin element 
VARSIG21	document pomdoc pom doc 
VARSIG20	element dependencyel depend element 
VARSIG24	element natureel natur element 
MTHSIG10	updatedepend updat depend element configur 
VARIABLES	context initialsetup initi setup path xpath webxmlroot web xml root toremov remov gwtpath gwt path url ioe persistenceunitel persist unit element xmlfile xml file pomxmldoc pom xml doc pluginel plugin element configur existingbuildplugin exist build plugin pluginel plugin element configur dependencyel depend element dependencyel depend element pomdoc pom doc pluginel plugin element buildcommand build command natureel natur element filemanag file manag projectoper project oper context pom mutablepom mutabl pom pomdoc pom doc configur sourceantpath sourc ant path targetdirectori target directori path url filenam file targetfilenam target filenam input toplevelpackag top level mutablefil mutabl file builder persistencexml persist xml mutablepersistencexml mutabl persist xml persistencexmldoc persist xml doc persistencexmldocroot persist xml doc root persistenceunitel persist unit element provid mutablexml mutabl xml xmldoc xml doc pomroot pom root pluginel plugin element plugin configel config element mappingexclusionpres map exclus childnod child node webxml web xml mutablewebxml mutabl web xml webxmldoc web xml doc webxmlroot web xml root displaynam displai webresourcecollect web resourc collect rolenam role name userdataconstraint user data constraint filter filtermap filter map securityconstraint secur constraint removeplugin remov plugin pluginconfigur plugin configur serverel server element plugin plugin depend gwtdepend gwt depend gaedepend gae depend pomroot pom root haschang chang pluginel plugin element plugin ctx gwtprojectvalidatorcommandpres gwt project valid command buildcommandnam build command newentri entri gwtnaturepres gwt natur gaenaturepres gae natur newentri entri newentri entri outputdirectori output directori newentri entri ctx 
