VARSIG3	fieldmetadata field metadata fieldmetadata field metadata 
VARSIG2	javasymbolnam symbol constantnam constant 
VARSIG5	physicaltypeidentifi physic type identifi 
VARSIG4	annotationmetadata annot metadata annot 
COMMENTS	implement link typemanagementservic type manag servic determin canon filenam check file doesn exist comput physic locat physic type mutabl detail ensur physic type mutabl detail automat add jsr bean valid api support current jsr support jsr annot version repres version user user depend list 
CLASSES	typemanagementserviceimpl type manag servic impl 
VARSIG1	physicaltypeidentifi physic type identifi 
VARSIG0	classorinterfacetypedetail type detail classorinterfacetypedetail type detail 
METHODS	generateclassfil gener file addenumconst add constant addfield add field getphysicallocationcanonicalpath physic locat canon path 
MTHSIG0	generateclassfil gener file classorinterfacetypedetail type detail classorinterfacetypedetail type detail 
MTHSIG1	addenumconst add constant physicaltypeidentifi physic type identifi javasymbolnam symbol constantnam constant 
PACKAGE	springframework roo classpath 
MTHSIG2	addfield add field fieldmetadata field metadata fieldmetadata field metadata 
MTHSIG3	getphysicallocationcanonicalpath physic locat canon path physicaltypeidentifi physic type identifi 
VARIABLES	classorinterfacetypedetail type detail physicaltypeidentifi physic type identifi constantnam constant fieldmetadata field metadata annot physicaltypeidentifi physic type identifi filemanag file manag metadataservic metadata servic physicaltypemetadataprovid physic type metadata provid projectoper project oper physicallocationcanonicalpath physic locat canon path tocreat creat ptm ptd mutabletypedetail mutabl type detail ptm ptd mutabletypedetail mutabl type detail jsr requir jsr requir javatyp type path relativepath rel path 
