VARSIG7	entitynam entiti 
VARSIG6	plural 
VARSIG3	set javasymbolnam symbol exclus 
VARSIG2	depth 
VARSIG5	javasymbolnam symbol findernam finder 
VARSIG4	memberdetail member detail memberdetail member detail 
COMMENTS	link dynamicfinderservic dynam finder servic gener dynam finder method base link javasymbolnam symbol findbyfirstnameandlastnam finder combin creat queri provid access paramet type name conveni gener combin finder signatur link findercommand finder command locat finder user instal memberdetail member detail link memberdetail member detail object search requir plural pluralis form entiti finder name requir depth depth combin finder signatur combin depth combin maximum attribut member detail requir exclus field name contain suggest finder immut represent finder signatur depth return list empti gener link queryhold queri holder object consist name jpa queri jpa entiti manag queri paramet type name jpa queri paramet name name jpa queri memberdetail member detail link memberdetail member detail object search requir findernam finder finder signatur requir valid signatur plural pluralis form entiti finder name requir entitynam entiti entiti queri link queryhold queri holder object attribut jpa name queri finder unabl built time 
CLASSES	dynamicfinderservic dynam finder servic 
VARSIG1	plural 
VARSIG0	memberdetail member detail memberdetail member detail 
METHODS	getfind finder getqueryhold queri holder 
MTHSIG0	getfind finder memberdetail member detail memberdetail member detail plural depth set javasymbolnam symbol exclus 
MTHSIG1	getqueryhold queri holder memberdetail member detail memberdetail member detail javasymbolnam symbol findernam finder plural entitynam entiti 
PACKAGE	springframework roo addon finder 
VARIABLES	memberdetail member detail plural depth exclus memberdetail member detail findernam finder plural entitynam entiti 
