MTHSIG4	getdeclaredinnertypes declared types
MTHSIG5	getextendstypes types
MTHSIG6	getimplementstypes types
MTHSIG0	getdeclaredmethods declared methods
MTHSIG1	getdeclaredconstructors declared constructors
PACKAGE	springframework roo classpath details
MTHSIG2	getdeclaredfields declared fields
MTHSIG3	getdeclaredinitializers declared initializers
COMMENTS	immutable representation members aspect lists classes type empty empty link list extend single link list support interfaces support special declare parents destinationtype destination type superclasstype superclass type feature itds permits effectively multiple inheritance unmodifiable representation classes type empty lists classes type empty link list support interfaces support special declare parents destinationtype destination type someinterfacetype type feature itds unmodifiable representation classes type empty
CLASSES	memberholdingtypedetails member holding type details
VARIABLES	
METHODS	getdeclaredmethods declared methods getdeclaredconstructors declared constructors getdeclaredfields declared fields getdeclaredinitializers declared initializers getdeclaredinnertypes declared types getextendstypes types getimplementstypes types
