MTHSIG28	getresources resources xpathexpression path expression element configuration
MTHSIG29	getdbxpath path jdbcdatabase jdbc database jdbcdatabase jdbc database
MTHSIG26	getfilters filters xpathexpression path expression element configuration
MTHSIG27	getplugins plugins xpathexpression path expression element configuration
MTHSIG24	cleanup element configuration ormprovider orm provider ormprovider orm provider jdbcdatabase jdbc database jdbcdatabase jdbc database
MTHSIG25	getdependencies dependencies xpathexpression path expression element configuration
MTHSIG22	updateeclipseplugin update plugin addtoplugin add plugin
MTHSIG23	updatedatanucleusplugin update data nucleus plugin addtoplugin add plugin
MTHSIG4	getpersistencepath persistence path
VARSIG78	filter filter
MTHSIG5	getdatabasepropertiespath database properties path
VARSIG77	element filterelement filter element
MTHSIG6	configurejpa configure jpa ormprovider orm provider ormprovider orm provider jdbcdatabase jdbc database jdbcdatabase jdbc database jndi applicationid application hostname host databasename database username user password transactionmanager transaction manager persistenceunit persistence unit
VARSIG76	element filterelement filter element
MTHSIG7	updateapplicationcontext update application context ormprovider orm provider ormprovider orm provider jdbcdatabase jdbc database jdbcdatabase jdbc database jndi transactionmanager transaction manager persistenceunit persistence unit
VARSIG75	jdbcdatabase jdbc database jdbcdatabase jdbc database
MTHSIG0	isjpainstallationpossible jpa installation
MTHSIG1	isjpainstalled jpa installed
VARSIG120	document document
MTHSIG2	hasdatabaseproperties database properties
VARSIG121	element propertyelement property element
MTHSIG3	getdatabaseproperties database properties
VARSIG79	element configuration
MTHSIG20	updateresources update resources element configuration ormprovider orm provider ormprovider orm provider jdbcdatabase jdbc database jdbcdatabase jdbc database
VARSIG70	jdbcdatabase jdbc database jdbcdatabase jdbc database
MTHSIG21	updatebuildplugins update build plugins element configuration ormprovider orm provider ormprovider orm provider jdbcdatabase jdbc database jdbcdatabase jdbc database
MTHSIG8	updatepersistencexml update persistence xml ormprovider orm provider ormprovider orm provider jdbcdatabase jdbc database jdbcdatabase jdbc database hostname host databasename database username user password persistenceunit persistence unit
VARSIG74	ormprovider orm provider ormprovider orm provider
MTHSIG9	getconnectionstring connection jdbcdatabase jdbc database jdbcdatabase jdbc database hostname host databasename database
VARSIG73	element configuration
VARSIG72	element pluginrepositoryelement plugin repository element
VARSIG71	element pluginrepositoryelement plugin repository element
MTHSIG35	getpropertiesfromdatanucleusconfiguration properties data nucleus configuration
MTHSIG33	createpropertyelement create property element document document
MTHSIG34	createrefelement create element document document
