VARSIG3	javatype type governortype governor type
VARSIG2	gwttype gwt type mirrortype mirror type
VARSIG5	projectmetadata project metadata projectmetadata project metadata
VARSIG4	gwttype gwt type type
COMMENTS	utility methods gwt add
CLASSES	gwtutils gwt utils
VARSIG1	javatype type governortype governor type
VARSIG0	projectmetadata project metadata projectmetadata project metadata
METHODS	gwtutils gwt utils getmirrortypemap mirror type map convertgovernortypenameintokeytypename convert governor type key type
MTHSIG0	gwtutils gwt utils
MTHSIG1	getmirrortypemap mirror type map projectmetadata project metadata projectmetadata project metadata javatype type governortype governor type
PACKAGE	springframework roo addon gwt
MTHSIG2	convertgovernortypenameintokeytypename convert governor type key type javatype type governortype governor type gwttype gwt type type projectmetadata project metadata projectmetadata project metadata
VARIABLES	projectmetadata project metadata governortype governor type mirrortype mirror type governortype governor type type projectmetadata project metadata mirrortypemap mirror type map destinationpackage destination typename type simple
