MTHSIG28	updateservicetypes update service types
MTHSIG29	updateurlmap update url map
MTHSIG26	updateapplicationnames update application names
MTHSIG27	updateprovisionedservices update provisioned services
MTHSIG24	crypt input opmode
MTHSIG25	getcipher cipher opmode
MTHSIG22	encodeloginprefentries encode login pref entries list entries
MTHSIG23	decodeloginprefentries decode login pref entries entries
VARSIG39	invalidkeyexception invalid key exception
MTHSIG4	login email password cloudcontrollerurl cloud controller url
VARSIG34	exception
MTHSIG5	putpreference preference prefkey pref key prefvalue pref
VARSIG33	opmode
MTHSIG6	getpreference preference prefkey pref key
VARSIG32	input
MTHSIG7	getclient client
VARSIG31	encodedentry encoded entry
MTHSIG0	deactivate componentcontext component context
VARSIG38	nosuchalgorithmexception algorithm exception
MTHSIG1	activate componentcontext component context context
VARSIG37	nosuchpaddingexception padding exception
PACKAGE	springframework roo addon cloud foundry
MTHSIG2	beforetransmission transmission transmissiontype transmission type type
VARSIG36	invalidkeyspecexception invalid key spec exception
MTHSIG3	aftertransmission transmission transmissiontype transmission type type successful
VARSIG35	opmode
MTHSIG20	encodeloginprefentry encode login pref entry cloudcredentials cloud credentials cloudcredentials cloud credentials
MTHSIG21	decodeloginprefentry decode login pref entry encodedentry encoded entry
MTHSIG8	getapplicationnames application names
VARSIG30	entries
MTHSIG9	getprovisionedservices provisioned services
CLASSES	cloudfoundrysessionimpl cloud foundry session impl
VARSIG29	list entries
VARSIG28	encodedentry encoded entry
METHODS	deactivate activate beforetransmission transmission aftertransmission transmission login putpreference preference getpreference preference getclient client getapplicationnames application names getprovisionedservices provisioned services getboundurlmap bound url map getapplicationmemoryoptions application memory options getprovisionedservice provisioned service getservice service getservicetypes service types getstoredemails stored emails getstoredurls stored urls clearstoredlogindetails clear stored login details getstoredemailsforurl stored emails url getstoredloginprefs stored login prefs encodeloginprefentry encode login pref entry decodeloginprefentry decode login pref entry encodeloginprefentries encode login pref entries decodeloginprefentries decode login pref entries crypt getcipher cipher updateapplicationnames update application names updateprovisionedservices update provisioned services updateservicetypes update service types updateurlmap update url map updatememoryoptions update memory options getpreferencesfor preferences
VARSIG23	unsupportedencodingexception unsupported encoding exception
VARSIG22	cloudcredentials cloud credentials cloudcredentials cloud credentials
VARSIG21	cloudcredentials cloud credentials cloudcredentials cloud credentials
VARSIG20	serviceconfiguration service configuration serviceconfiguration service configuration
VARSIG27	cloudcredentials cloud credentials cloudcredentials cloud credentials
VARSIG26	unsupportedencodingexception unsupported encoding exception
VARSIG25	cloudcredentials cloud credentials cloudcredentials cloud credentials
VARSIG24	url
MTHSIG31	getpreferencesfor preferences clazz
MTHSIG30	updatememoryoptions update memory options
VARSIG7	password
VARSIG6	email
VARSIG9	cloudcredentials cloud credentials cloudcredentials cloud credentials
VARSIG8	cloudcontrollerurl cloud controller url
VARSIG3	transmissiontype transmission type type
VARSIG2	componentcontext component context context
VARSIG5	successful
VARSIG4	transmissiontype transmission type type
COMMENTS	todo replace call versionhelper version helper getproductfromdictionary product dictionary uaa todo uaa uaa preferencesutils preferences utils wait uaa uaa earlier create preferences object suppressing created user preferences directory messages preferences directory
VARSIG19	servicevendor service vendor
VARSIG1	backingstoreexception backing store exception
VARSIG18	provisionedservicename provisioned service
VARSIG0	componentcontext component context
VARSIG17	unsupportedencodingexception unsupported encoding exception
VARSIG12	malformedurlexception malformed url exception
VARSIG11	exception
VARSIG55	object
VARSIG10	cloudcredentials cloud credentials cloudcredentials cloud credentials
VARSIG54	ioexception exception
VARSIG53	encodedfield encoded field
VARSIG16	prefkey pref key
VARSIG15	backingstoreexception backing store exception
VARSIG14	prefvalue pref
VARSIG13	prefkey pref key
VARSIG52	encoded
VARSIG51	ioexception exception
VARSIG50	map properties
MTHSIG17	clearstoredlogindetails clear stored login details
MTHSIG18	getstoredemailsforurl stored emails url url
MTHSIG15	getstoredemails stored emails
MTHSIG16	getstoredurls stored urls
MTHSIG13	getservice service servicevendor service vendor
MTHSIG14	getservicetypes service types
MTHSIG11	getapplicationmemoryoptions application memory options
MTHSIG12	getprovisionedservice provisioned service provisionedservicename provisioned service
MTHSIG19	getstoredloginprefs stored login prefs
VARSIG45	memoryoption memory option
VARSIG44	cloudapplication cloud application app
VARSIG43	serviceconfiguration service configuration servicetype service type
VARSIG42	cloudservice cloud service provisionedservice provisioned service
VARSIG49	url
VARSIG48	password
VARSIG47	email
VARSIG46	clazz
MTHSIG10	getboundurlmap bound url map
