VARSIG3	includewarning include warning
VARSIG2	classorinterfacetypedetails type details typedetails type details
VARSIG5	includewarning include warning
VARSIG4	list classorinterfacetypedetails type details typedetails type details
COMMENTS	basic implementation link gwtfilemanager gwt file manager encapsulates file management functionality required link gwtmetadataproviderimpl gwt metadata provider impl
CLASSES	gwtfilemanager gwt file manager
VARSIG1	newcontents contents
VARSIG0	destfile dest file
METHODS	write write write
MTHSIG0	write destfile dest file newcontents contents
MTHSIG1	write classorinterfacetypedetails type details typedetails type details includewarning include warning
PACKAGE	springframework roo addon gwt
MTHSIG2	write list classorinterfacetypedetails type details typedetails type details includewarning include warning
VARIABLES	destfile dest file newcontents contents typedetails type details includewarning include warning typedetails type details includewarning include warning
