MTHSIG28	getinnertypes types
MTHSIG29	getenclosingtypename enclosing type
MTHSIG26	getcompilationunitpackage compilation unit
MTHSIG27	getimports imports
MTHSIG24	createorupdatetypeondisk create update type disk filemanager file manager filemanager file manager classorinterfacetypedetails type details cit fileidentifier file identifier
MTHSIG25	tostring
MTHSIG22	getresolvedname resolved javatype type target javatype type current compilationunit compilation unit compilationunit compilation unit
MTHSIG23	getresolvedname resolved javatype type target javatype type current compilationunitservices compilation unit services compilationunit compilation unit
VARSIG39	methodmetadata metadata candidate
MTHSIG4	getdeclaredbymetadataid declared metadata
VARSIG34	javatype type current
MTHSIG5	getmodifier modifier
VARSIG33	javatype type
MTHSIG6	getsuperclass superclass
VARSIG32	javatype type current
MTHSIG7	getphysicaltypecategory physical type category
VARSIG31	importmetadata metadata importtype type
MTHSIG0	javaparserclassorinterfacetypedetails parser type details compilationunit compilation unit compilationunit compilation unit typedeclaration type declaration typedeclaration type declaration declaredbymetadataid declared metadata javatype type typename type metadataservice metadata service metadataservice metadata service physicaltypemetadataprovider physical type metadata provider physicaltypemetadataprovider physical type metadata provider
VARSIG38	constructormetadata constructor metadata candidate
MTHSIG1	getdefaultcompilationunitservices compilation unit services
VARSIG37	fieldmetadata field metadata candidate
PACKAGE	springframework roo classpath javaparser
MTHSIG2	javaparserclassorinterfacetypedetails parser type details compilationunit compilation unit compilationunit compilation unit compilationunitservices compilation unit services enclosingcompilationunitservices enclosing compilation unit services typedeclaration type declaration typedeclaration type declaration declaredbymetadataid declared metadata javatype type typename type metadataservice metadata service metadataservice metadata service physicaltypemetadataprovider physical type metadata provider physicaltypemetadataprovider physical type metadata provider
VARSIG36	javasymbolname symbol constant
MTHSIG3	javaparserclassorinterfacetypedetails parser type details typecontents type contents declaredbymetadataid declared metadata javatype type typename type metadataservice metadata service metadataservice metadata service physicaltypemetadataprovider physical type metadata provider physicaltypemetadataprovider physical type metadata provider
VARSIG35	annotationmetadata annotation metadata candidate
MTHSIG20	getcompilationunitcontents compilation unit contents classorinterfacetypedetails type details cit
