VARSIG7	customdata custom data customdata custom data
VARSIG6	fieldmetadata field metadata field
VARSIG9	customdata custom data customdata custom data
VARSIG8	methodmetadata metadata
VARSIG3	tomodify modify
VARSIG2	typedetailsbuilder type details builder typedetailsbuilder type details builder
VARSIG5	object
VARSIG4	customdatakey custom data key key
COMMENTS	builder link memberdetails member details push members modified push members mids don match proposed can replacement mids don match proposed can replacement mids don match proposed can replacement
VARSIG19	object key
VARSIG1	memberholdingtypedetails member holding type details memberholdingtypedetails member holding type details
VARSIG18	fieldmetadatabuilder field metadata builder existingfield existing field
VARSIG0	memberdetails member details memberdetails member details
VARSIG17	customdata custom data customdata custom data
MTHSIG4	domodification modification methodmetadata metadata customdata custom data customdata custom data
VARSIG12	memberholdingtypedetails member holding type details type
MTHSIG5	domodification modification constructormetadata constructor metadata constructor customdata custom data customdata custom data
VARSIG11	customdata custom data customdata custom data
MTHSIG6	domodification modification memberholdingtypedetails member holding type details type customdata custom data customdata custom data
VARSIG10	constructormetadata constructor metadata constructor
MTHSIG7	gettypedetailsbuilder type details builder memberholdingtypedetails member holding type details memberholdingtypedetails member holding type details
MTHSIG0	memberdetailsbuilder member details builder memberdetails member details memberdetails member details
VARSIG16	fieldmetadata field metadata replacement
MTHSIG1	build
VARSIG15	memberholdingtypedetails member holding type details existing
PACKAGE	springframework roo classpath scanner
MTHSIG2	tag tomodify modify customdatakey custom data key key object
VARSIG14	memberholdingtypedetails member holding type details memberholdingtypedetails member holding type details
MTHSIG3	domodification modification fieldmetadata field metadata field customdata custom data customdata custom data
VARSIG13	customdata custom data customdata custom data
CLASSES	memberdetailsbuilder member details builder
METHODS	memberdetailsbuilder member details builder build tag domodification modification domodification modification domodification modification domodification modification gettypedetailsbuilder type details builder
VARSIG23	object key
VARSIG22	methodmetadatabuilder metadata builder existingmethod existing
VARSIG21	customdata custom data customdata custom data
VARSIG20	methodmetadata metadata replacement
VARSIG27	object key
VARSIG26	constructormetadatabuilder constructor metadata builder existingconstructor existing constructor
VARSIG25	customdata custom data customdata custom data
VARSIG24	constructormetadata constructor metadata replacement
VARIABLES	memberdetails member details memberholdingtypedetails member holding type details typedetailsbuilder type details builder tomodify modify key field customdata custom data customdata custom data constructor customdata custom data type customdata custom data memberholdingtypedetails member holding type details existing replacement customdata custom data existingfield existing field key replacement customdata custom data existingmethod existing key replacement customdata custom data existingconstructor existing constructor key memberholdingtypedetailsmap member holding type details map typedetailsbuildermap type details builder map originalmemberdetails original member details changed customdatabuilder custom data builder customdatabuilder custom data builder customdatabuilder custom data builder customdatabuilder custom data builder memberholdingtypedetails member holding type details matchedfield matched field typedetailsbuilder type details builder memberholdingtypedetails member holding type details matchedmethod matched typedetailsbuilder type details builder memberholdingtypedetails member holding type details matchedconstructor matched constructor typedetailsbuilder type details builder memberholdingtypedetails member holding type details typedetailsbuilder type details builder typedetailsbuilder type details builder existing builder builder
