VARSIG7	category
VARSIG6	message
VARSIG9	
VARSIG8	key
VARSIG3	message
VARSIG2	message
VARSIG5	revstr
VARSIG4	maxhistory max history
COMMENTS	operations offered git addon triggers commit git tree works git commmit message message commit message triggers git reset hard noofcommitstoreset commits reset number commits reset head message commit message triggers revert commit message commit message git log maxhistory max history trigger revert commit rev revstr message trigger git push convenience access git config setting config options category git config category key config key config initial setup git repository target project check git commands shell depends presence git repository availability check git setup command shell availability check automatic commit enabled successful roo commands automaticcommit automatic commit
VARSIG1	noofcommitstoreset commits reset
VARSIG0	message
MTHSIG4	revertcommit revert commit revstr message
MTHSIG5	push
MTHSIG6	setconfig set config category key
MTHSIG7	setup
MTHSIG0	commitallchanges commit message
MTHSIG1	reset noofcommitstoreset commits reset message
PACKAGE	springframework roo addon git
MTHSIG2	revertlastcommit revert commit message
MTHSIG3	log maxhistory max history
MTHSIG8	isgitcommandavailable git command
MTHSIG9	issetupcommandavailable setup command
CLASSES	gitoperations git operations
METHODS	commitallchanges commit reset revertlastcommit revert commit log revertcommit revert commit push setconfig set config setup isgitcommandavailable git command issetupcommandavailable setup command isautomaticcommit automatic commit
MTHSIG10	isautomaticcommit automatic commit
VARIABLES	message noofcommitstoreset commits reset message message maxhistory max history revstr message category key
