VARSIG3	list fieldmetadata field metadata identifierfields identifier fields
VARSIG2	fieldmetadata field metadata embeddedidentifierfield embedded identifier field
COMMENTS	holder embedded identifier attributes
CLASSES	embeddedidentifierholder embedded identifier holder
VARSIG1	list fieldmetadata field metadata identifierfields identifier fields
VARSIG0	fieldmetadata field metadata embeddedidentifierfield embedded identifier field
METHODS	embeddedidentifierholder embedded identifier holder getembeddedidentifierfield embedded identifier field setembeddedidentifierfield set embedded identifier field getidentifierfields identifier fields setidentifierfields set identifier fields
MTHSIG4	setidentifierfields set identifier fields list fieldmetadata field metadata identifierfields identifier fields
MTHSIG0	embeddedidentifierholder embedded identifier holder fieldmetadata field metadata embeddedidentifierfield embedded identifier field list fieldmetadata field metadata identifierfields identifier fields
MTHSIG1	getembeddedidentifierfield embedded identifier field
PACKAGE	springframework roo addon dbre
MTHSIG2	setembeddedidentifierfield set embedded identifier field fieldmetadata field metadata embeddedidentifierfield embedded identifier field
MTHSIG3	getidentifierfields identifier fields
VARIABLES	embeddedidentifierfield embedded identifier field identifierfields identifier fields embeddedidentifierfield embedded identifier field identifierfields identifier fields embeddedidentifierfield embedded identifier field identifierfields identifier fields
