VARSIG7	modulename module
VARSIG6	javatype type type
VARSIG9	metadataidentificationstring metadata identification
VARSIG8	producedmid produced mid
VARSIG3	javatype type physicaltype physical type
VARSIG2	upstreamdependency upstream dependency
VARSIG5	javatype type physicaltype physical type
VARSIG4	javatype type physicaltype physical type
COMMENTS	implementation link integrationtestmetadataprovider integration test metadata provider constants fields integration test classes configurable dod classes provide relationships handles change explicit downstream dependency physical type physicaltype physical type type changed required entities produce metadata changed refresh metadata handles change explicit downstream dependency project metadata determine persistence changed comparing current parse annotation expect informed dependent metadata informed dependent metadata order handle switching gae jpa produced mids remembered regenerated jpa gae maintain list entities tested returns link javatype type entity entity data demand entity entity dod type type exist check existing type standard dod naming convention dod annotated classes entity entity existing dod entity
VARSIG1	componentcontext component context context
VARSIG18	logicalpath logical path path
VARSIG0	componentcontext component context context
VARSIG17	javatype type javatype type
MTHSIG4	handlechangestotestedentities handle tested entities javatype type physicaltype physical type
VARSIG12	itdfilename filename
MTHSIG5	handlechangestolayeringfortestedentities handle layering tested entities javatype type physicaltype physical type
VARSIG11	physicaltypemetadata physical type metadata governorphysicaltypemetadata governor physical type metadata
MTHSIG6	handlegenericchangetoproject handle change project modulename module
VARSIG10	javatype type aspectname aspect
MTHSIG7	getmetadata metadata metadataidentificationstring metadata identification javatype type aspectname aspect physicaltypemetadata physical type metadata governorphysicaltypemetadata governor physical type metadata itdfilename filename
MTHSIG0	activate componentcontext component context context
VARSIG16	metadataidentificationstring metadata identification
MTHSIG1	deactivate componentcontext component context context
VARSIG15	javatype type entity
PACKAGE	springframework roo addon test
MTHSIG2	notifyforgenericlistener notify listener upstreamdependency upstream dependency
VARSIG14	classorinterfacetypedetails type details dodtype dod type
MTHSIG3	handlegenericchangetophysicaltype handle change physical type javatype type physicaltype physical type
VARSIG13	javatype type entity
MTHSIG8	getdataondemandtype data demand type javatype type entity
MTHSIG9	getentitysuperclass entity superclass javatype type entity
MTHSIG13	getprovidestype type
MTHSIG11	getgovernorphysicaltypeidentifier governor physical type identifier metadataidentificationstring metadata identification
MTHSIG12	createlocalidentifier create local identifier javatype type javatype type logicalpath logical path path
CLASSES	integrationtestmetadataproviderimpl integration test metadata provider impl
METHODS	activate deactivate notifyforgenericlistener notify listener handlegenericchangetophysicaltype handle change physical type handlechangestotestedentities handle tested entities handlechangestolayeringfortestedentities handle layering tested entities handlegenericchangetoproject handle change project getmetadata metadata getdataondemandtype data demand type getentitysuperclass entity superclass getitduniquenessfilenamesuffix uniqueness filename suffix getgovernorphysicaltypeidentifier governor physical type identifier createlocalidentifier create local identifier getprovidestype type
MTHSIG10	getitduniquenessfilenamesuffix uniqueness filename suffix
VARIABLES	context context upstreamdependency upstream dependency physicaltype physical type physicaltype physical type physicaltype physical type type modulename module producedmid produced mid metadataidentificationstring metadata identification aspectname aspect governorphysicaltypemetadata governor physical type metadata itdfilename filename entity dodtype dod type entity metadataidentificationstring metadata identification javatype type path layer position transaction manager attribute configurablemetadataprovider configurable metadata provider layerservice layer service projectoperations project operations managedentitytypes managed entity types producedmids produced mids wasgaeenabled gae enabled localmid local mid memberholdingtypedetails member holding type details projectmetadata project metadata isgaeenabled gae enabled hasgaestatechanged gae changed annotationvalues annotation values entity dataondemandtype data demand type dataondemandmetadatakey data demand metadata key dataondemandmetadata data demand metadata identifiertype identifier type memberdetails member details persistencememberholdingtypedetails persistence member holding type details firstresultparameter result parameter maxresultsparameter max parameter identifieraccessormethod identifier accessor versionaccessormethod version accessor countmethodadditions count additions findmethodadditions find additions findallmethodadditions find additions findentriesmethod find entries entityparameter entity parameter flushmethodadditions flush additions mergemethodadditions merge additions persistmethodadditions persist additions removemethodadditions remove additions transactionmanager transaction manager jpaactiverecordannotation jpa active record annotation transactionmanagerattr transaction manager attr hasembeddedidentifier embedded identifier entityhassuperclass entity superclass modulename module isgaeenabled gae enabled defaultdodtype dod type dodannotation dod annotation physicaltypeidentifier physical type identifier ptm ptd cid javatype type path
