VARSIG7	javasymbolname symbol paramname
VARSIG6	findermetadatadetails finder metadata details finderdetails finder details
VARSIG9	downstreamdependency downstream dependency
VARSIG8	upstreamdependency upstream dependency
VARSIG3	fieldmetadata field metadata idfield field
VARSIG2	metadataidentificationstring metadata identification
VARSIG5	fieldmetadata field metadata
VARSIG4	methodmetadata metadata
COMMENTS	listens link webscaffoldmetadata web scaffold metadata produces jsps requested metadata constants fields work mids metadata depend javatype type path web scaffold controller can scaffold don manage jsps time install web artifacts spring mvc config missing todo remove call controller commands holding directory controller directory jsps add create menu item setup labels support add list menu item finders scaffolded finder roo add find menu item clean links finders removed physical type changed determine local metadata identification proceed downstream dependency relationship registered registered event delivered fallback listener metadatadependencyregistry metadata dependency registry addlistener add listener activate metadata changed don worry physical type metadata monitor relevant dod governor detected there wrong let gracefully abort let ensure type details work
CLASSES	jspmetadatalistener jsp metadata listener
VARSIG1	componentcontext component context context
VARSIG0	componentcontext component context context
METHODS	activate deactivate notify getprovidestype type installimage install image
MTHSIG4	getprovidestype type
VARSIG12	exception
MTHSIG5	installimage install image logicalpath logical path path imagepath image path
VARSIG11	imagepath image path
VARSIG10	logicalpath logical path path
MTHSIG0	activate componentcontext component context context
MTHSIG1	deactivate componentcontext component context context
PACKAGE	springframework roo addon web mvc jsp
MTHSIG2	metadataidentificationstring metadata identification
MTHSIG3	notify upstreamdependency upstream dependency downstreamdependency downstream dependency
VARIABLES	context context metadataidentificationstring metadata identification idfield field finderdetails finder details paramname upstreamdependency upstream dependency downstreamdependency downstream dependency path imagepath image path web inf views filemanager file manager jspoperations jsp operations menuoperations menu operations metadatadependencyregistry metadata dependency registry metadataservice metadata service projectoperations project operations propfileoperations prop file operations tilesoperations tiles operations typelocationservice type location service webmetadataservice web metadata service xmlroundtripfilemanager xml trip file manager formbackingobjecttypestolocalmids form backing object types local mids webscaffoldmetadatakey web scaffold metadata key webscaffoldmetadata web scaffold metadata formbackingtype form backing type memberdetails member details formbackingtypemetadatadetails form backing type metadata details relatedtypemd type formbackingtypemetadata formbacking type metadata formbackingtypepersistencemetadata form backing type persistence metadata formbackingtypedetails form backing type details formbackingtypepath form backing type path path pathresolver path resolver webapppath webapp path eligiblefields eligible fields viewmanager view manager controllerpath controller path destinationdirectory destination directory file listpath list path showpath path properties categoryname category newmenuitemid menu item listpath list path listpath list path resourceid resource pluralresourceid plural resource plural javatypepersistencemetadatadetails type persistence metadata details field fieldname field fieldresourceid field resource typepersistencemetadatadetails type persistence metadata details listmenuitemid list menu item allowedmenuitems allowed menu items ptm mhtd findermethodsdetails finder methods details findername finder listpath list path finderlabel finder label javatype type path javatype type path metadataitem metadata item itdmetadata metadata itdtypedetails type details localmid local mid pathresolver path resolver imagefile image file
