MTHSIG4	isincludeonmenu include menu
MTHSIG0	jsfmanagedbeanannotationvalues jsf managed bean annotation values physicaltypemetadata physical type metadata governorphysicaltypemetadata governor physical type metadata
MTHSIG1	jsfmanagedbeanannotationvalues jsf managed bean annotation values classorinterfacetypedetails type details governorphysicaltypedetails governor physical type details
PACKAGE	springframework roo addon jsf managedbean
MTHSIG2	getentity entity
MTHSIG3	getbeanname bean
COMMENTS	represents parsed link roojsfmanagedbean roo jsf managed bean annotation annotation
CLASSES	jsfmanagedbeanannotationvalues jsf managed bean annotation values
VARIABLES	governorphysicaltypemetadata governor physical type metadata governorphysicaltypedetails governor physical type details entity beanname bean includeonmenu include menu
VARSIG1	classorinterfacetypedetails type details governorphysicaltypedetails governor physical type details
VARSIG0	physicaltypemetadata physical type metadata governorphysicaltypemetadata governor physical type metadata
METHODS	jsfmanagedbeanannotationvalues jsf managed bean annotation values jsfmanagedbeanannotationvalues jsf managed bean annotation values getentity entity getbeanname bean isincludeonmenu include menu
