VARSIG2	expectedmapping expected mapping
COMMENTS	unit test link jspoperationsimpl jsp operations impl asserts preferred mapping user rise expected folder mapping annotation preferredmapping preferred mapping expectedfolder expected folder expectedmapping expected mapping set invoke check
CLASSES	jspoperationsimpltest jsp operations impl test
VARSIG1	expectedfolder expected folder
VARSIG0	preferredmapping preferred mapping
METHODS	assertfolderandmapping folder mapping testgetfolderandmappingforblankpreferredmapping test folder mapping blank preferred mapping testgetfolderandmappingforunadornedpreferredmapping test folder mapping unadorned preferred mapping testgetfolderandmappingforpreferredmappingwithleadingslash test folder mapping preferred mapping leading slash testgetfolderandmappingforpreferredmappingwithtrailingslash test folder mapping preferred mapping trailing slash testgetfolderandmappingforpreferredmappingwithtrailingwildcard test folder mapping preferred mapping trailing wildcard testgetfolderandmappingforpreferredmappingwithmixedcase test folder mapping preferred mapping mixed
MTHSIG4	testgetfolderandmappingforpreferredmappingwithtrailingslash test folder mapping preferred mapping trailing slash
MTHSIG5	testgetfolderandmappingforpreferredmappingwithtrailingwildcard test folder mapping preferred mapping trailing wildcard
MTHSIG6	testgetfolderandmappingforpreferredmappingwithmixedcase test folder mapping preferred mapping mixed
MTHSIG0	assertfolderandmapping folder mapping preferredmapping preferred mapping expectedfolder expected folder expectedmapping expected mapping
MTHSIG1	testgetfolderandmappingforblankpreferredmapping test folder mapping blank preferred mapping
PACKAGE	springframework roo addon web mvc jsp
MTHSIG2	testgetfolderandmappingforunadornedpreferredmapping test folder mapping unadorned preferred mapping
MTHSIG3	testgetfolderandmappingforpreferredmappingwithleadingslash test folder mapping preferred mapping leading slash
VARIABLES	preferredmapping preferred mapping expectedfolder expected folder expectedmapping expected mapping mockcontroller mock controller pair
