VARSIG7	methodmetadata metadata
VARSIG6	javasymbolname symbol findername finder
VARSIG9	javasymbolname symbol
VARSIG8	javasymbolname symbol
VARSIG3	methodmetadata metadata entitymanagermethod entity manager
VARSIG2	physicaltypemetadata physical type metadata governorphysicaltypemetadata governor physical type metadata
VARSIG5	javasymbolname symbol findername finder
VARSIG4	sortedmap sorted map javasymbolname symbol queryholder query holder queryholders query holders
COMMENTS	metadata link roojpaactiverecord roo jpa active record finders constants fields create representation desired output obtains legal dynamic finders metadata instance subset completely empty requested link roojpaactiverecord roo jpa active record annotation user typing error representing requested dynamic finder field deleted user add produces field mutator loaded error conditions immutable representation finder methods returns empty locates dynamic finder creates demand required requested defined link roojpaactiverecord roo jpa active record finders exception thrown findername finder dynamic finder user defined generated returns access parameter scan treat match authoritative scan superclass caller expected scan current expected won check parameters create declared field produce accessor entitymanager entity manager roo
VARSIG1	javatype type aspectname aspect
VARSIG0	identifier
MTHSIG4	getmetadataidentifertype metadata identifer type
VARSIG12	metadataidentificationstring metadata identification
MTHSIG5	createidentifier create identifier javatype type javatype type logicalpath logical path path
VARSIG11	logicalpath logical path path
MTHSIG6	getjavatype type metadataidentificationstring metadata identification
VARSIG10	javatype type javatype type
MTHSIG7	getpath path metadataidentificationstring metadata identification
MTHSIG0	findermetadata finder metadata identifier javatype type aspectname aspect physicaltypemetadata physical type metadata governorphysicaltypemetadata governor physical type metadata methodmetadata metadata entitymanagermethod entity manager sortedmap sorted map javasymbolname symbol queryholder query holder queryholders query holders
MTHSIG1	getalldynamicfinders dynamic finders
PACKAGE	springframework roo addon finder
MTHSIG2	getdynamicfindermethod dynamic finder javasymbolname symbol findername finder
VARSIG14	metadataidentificationstring metadata identification
MTHSIG3	tostring
VARSIG13	metadataidentificationstring metadata identification
MTHSIG8	isvalid valid metadataidentificationstring metadata identification
CLASSES	findermetadata finder metadata
METHODS	findermetadata finder metadata getalldynamicfinders dynamic finders getdynamicfindermethod dynamic finder tostring getmetadataidentifertype metadata identifer type createidentifier create identifier getjavatype type getpath path isvalid valid
VARIABLES	identifier aspectname aspect governorphysicaltypemetadata governor physical type metadata entitymanagermethod entity manager queryholders query holders findername finder findername finder javatype type path metadataidentificationstring metadata identification metadataidentificationstring metadata identification metadataidentificationstring metadata identification type type entitymanagermethod entity manager queryholders query holders dynamicfindermethods dynamic finder methods methodbuilder builder parameters typedquerytype typed query type queryholder query holder jpaquery jpa query parametertypes parameter types parameternames parameter names bodybuilder body builder methodname containscollectiontype collection type length collectiontypenames collection type names jpaquerycomplete jpa query complete position tsc
