VARSIG7	clioption cli option key password mandatory mail account password password
VARSIG6	clioption cli option key username mandatory mail account username username
VARSIG9	clioption cli option key mandatory unspecifieddefaultvalue unspecified optioncontext option context update project receive field javatype type typename type
VARSIG8	clioption cli option key fieldname field mandatory specifieddefaultvalue mailtemplate mail template unspecifieddefaultvalue unspecified mailtemplate mail template field add javasymbolname symbol fieldname field
VARSIG3	clioption cli option key protocol mandatory protocol mail server mailprotocol mail protocol protocol
VARSIG2	clioption cli option key hostserver host server mandatory host server hostserver host server
VARSIG5	clioption cli option key encoding mandatory encoding mail encoding
VARSIG4	clioption cli option key port mandatory port mail server port
COMMENTS	commands email add roo shell fields mail template commands mail template commands call link ismailtemplateavailable mail template
VARSIG1	componentcontext component context context
VARSIG0	componentcontext component context context
MTHSIG4	installemail install email hostserver host server mailprotocol mail protocol protocol port encoding username password
VARSIG12	clioption cli option key subject mandatory message subject obtional subject
MTHSIG5	isinsertjmsavailable insert jms
VARSIG11	clioption cli option key mandatory email optional
MTHSIG6	injectemailtemplate inject email template javasymbolname symbol fieldname field javatype type typename type async
VARSIG10	clioption cli option key async mandatory unspecifieddefaultvalue unspecified specifieddefaultvalue injected executed asynchronously async
MTHSIG7	configureemailtemplate configure email template subject
MTHSIG0	activate componentcontext component context context
MTHSIG1	deactivate componentcontext component context context
PACKAGE	springframework roo addon email
MTHSIG2	isinstallemailavailable install email
MTHSIG3	ismailtemplateavailable mail template
CLASSES	mailcommands mail commands
METHODS	activate deactivate isinstallemailavailable install email ismailtemplateavailable mail template installemail install email isinsertjmsavailable insert jms injectemailtemplate inject email template configureemailtemplate configure email template
VARIABLES	context context hostserver host server protocol port encoding username password fieldname field typename type async subject mailoperations mail operations staticfieldconverter field converter
