VARSIG6	object
VARSIG3	object target
VARSIG2	
VARSIG5	key
VARSIG4	remainingbuffer remaining buffer
COMMENTS	executed shell command immutable fields constructor remainingbuffer remaining buffer key invoke required target object invoked required constructor fields set invoke required target object invoked required remainingbuffer remaining buffer blank key blank object
CLASSES	methodtarget target
VARSIG1	object target
VARSIG0	
METHODS	methodtarget target methodtarget target equals hashcode hash code tostring getkey key getmethod getremainingbuffer remaining buffer gettarget target
MTHSIG4	tostring
MTHSIG5	getkey key
MTHSIG6	getmethod
MTHSIG7	getremainingbuffer remaining buffer
MTHSIG0	methodtarget target object target
MTHSIG1	methodtarget target object target remainingbuffer remaining buffer key
PACKAGE	springframework roo shell
MTHSIG2	equals object
MTHSIG3	hashcode hash code
VARIABLES	target target remainingbuffer remaining buffer key target remainingbuffer remaining buffer key othermethodtarget target tsc
MTHSIG8	gettarget target
