VARSIG2	javapackage javapackage
COMMENTS	operations web mvc json functionality
CLASSES	webjsonoperations web json operations
VARSIG1	javatype type jsontype json type
VARSIG0	javatype type type
METHODS	iswebjsoninstallationpossible web json installation iswebjsoncommandavailable web json command setup annotatetype annotate type annotateall annotate
MTHSIG4	annotateall annotate javapackage javapackage
MTHSIG0	iswebjsoninstallationpossible web json installation
MTHSIG1	iswebjsoncommandavailable web json command
PACKAGE	springframework roo addon web mvc controller json
MTHSIG2	setup
MTHSIG3	annotatetype annotate type javatype type type javatype type jsontype json type
VARIABLES	type jsontype json type javapackage
