MTHSIG28	getsetvaluepickermethod set picker
MTHSIG29	getsetvaluepickermethodname set picker
MTHSIG26	isenum
MTHSIG27	isembeddable embeddable
MTHSIG24	isproxy proxy
MTHSIG25	iscollection collection
MTHSIG22	foreditview edit view
MTHSIG23	formobilelistview mobile list view renderername renderer
MTHSIG4	gettype type
MTHSIG5	getpropertytype property type
MTHSIG6	isboolean
MTHSIG7	isdate
MTHSIG0	gwtproxyproperty gwt proxy property javapackage toplevelpackage top level classorinterfacetypedetails type details ptmd javatype type type
MTHSIG1	gwtproxyproperty gwt proxy property javapackage toplevelpackage top level classorinterfacetypedetails type details ptmd javatype type type list annotationmetadata annotation metadata annotations getter
PACKAGE	springframework roo addon gwt
MTHSIG2	getname
MTHSIG3	getgetter getter
MTHSIG20	getcheckboxsubtype checkbox subtype
MTHSIG21	getreadablename readable
MTHSIG8	isprimitive primitive
MTHSIG9	isstring
CLASSES	gwtproxyproperty gwt proxy property
METHODS	gwtproxyproperty gwt proxy property gwtproxyproperty gwt proxy property getname getgetter getter gettype type getpropertytype property type isboolean isdate isprimitive primitive isstring getbinder binder getseteditor set editor getseteditortype set editor type geteditor editor getcollectionrenderer collection renderer getformatter formatter getdatetimeformat time format getrenderer renderer getproxyrenderertype proxy renderer type getproxyrenderertype proxy renderer type getcheckboxsubtype checkbox subtype getreadablename readable foreditview edit view formobilelistview mobile list view isproxy proxy iscollection collection isenum isembeddable embeddable getsetvaluepickermethod set picker getsetvaluepickermethodname set picker iscollectionofproxy collection proxy getvaluetype type
MTHSIG31	getvaluetype type
MTHSIG30	iscollectionofproxy collection proxy
VARSIG7	list annotationmetadata annotation metadata annotations
VARSIG6	
VARSIG9	javapackage toplevelpackage top level
VARSIG8	getter
VARSIG3	javapackage toplevelpackage top level
VARSIG2	javatype type type
VARSIG5	javatype type type
VARSIG4	classorinterfacetypedetails type details ptmd
COMMENTS	fields todo ugly hack
VARSIG1	classorinterfacetypedetails type details ptmd
VARSIG0	javapackage toplevelpackage top level
VARSIG12	annotationmetadata annotation metadata annotation
VARSIG11	renderername renderer
VARSIG10	javatype type javatype type
MTHSIG17	getrenderer renderer
MTHSIG18	getproxyrenderertype proxy renderer type
MTHSIG15	getformatter formatter
MTHSIG16	getdatetimeformat time format
MTHSIG13	geteditor editor
MTHSIG14	getcollectionrenderer collection renderer
MTHSIG11	getseteditor set editor
MTHSIG12	getseteditortype set editor type
MTHSIG19	getproxyrenderertype proxy renderer type javapackage toplevelpackage top level javatype type javatype type
MTHSIG10	getbinder binder
VARIABLES	toplevelpackage top level ptmd type toplevelpackage top level ptmd type annotations getter toplevelpackage top level javatype type renderername renderer annotation toplevelpackage top level ptmd type annotations getter typename type arg formatter annotation attr style format style annotation attr initializer annotations
