MTHSIG28	updatepluginrepositories update plugin repositories element configuration ormprovider orm provider ormprovider orm provider jdbcdatabase jdbc database jdbcdatabase jdbc database modulename module
MTHSIG29	updatefilters update filters element configuration ormprovider orm provider ormprovider orm provider jdbcdatabase jdbc database jdbcdatabase jdbc database databasexpath database path providersxpath providers path modulename module
MTHSIG26	getprojectname project modulename module
MTHSIG27	updaterepositories update repositories element configuration ormprovider orm provider ormprovider orm provider jdbcdatabase jdbc database jdbcdatabase jdbc database modulename module
MTHSIG24	updatepomproperties update pom properties element configuration ormprovider orm provider ormprovider orm provider jdbcdatabase jdbc database jdbcdatabase jdbc database modulename module
MTHSIG25	updatedependencies update dependencies element configuration ormprovider orm provider ormprovider orm provider jdbcdatabase jdbc database jdbcdatabase jdbc database databasexpath database path providersxpath providers path modulename module
MTHSIG22	writeproperties write properties path exists properties props
MTHSIG23	updatelog update log ormprovider orm provider ormprovider orm provider
MTHSIG4	ispersistentclassavailable persistent
VARSIG78	providersxpath providers path
MTHSIG5	getdatabaseproperties database properties
VARSIG77	databasexpath database path
MTHSIG6	configurejpa configure jpa ormprovider orm provider ormprovider orm provider jdbcdatabase jdbc database jdbcdatabase jdbc database jndi applicationid application hostname host databasename database username user password transactionmanager transaction manager persistenceunit persistence unit modulename module
VARSIG76	jdbcdatabase jdbc database jdbcdatabase jdbc database
MTHSIG7	newentity entity javatype type createabstract create javatype type superclass list annotationmetadatabuilder annotation metadata builder annotations
VARSIG75	ormprovider orm provider ormprovider orm provider
MTHSIG0	getname
MTHSIG1	isinstalledinmodule installed module modulename module
MTHSIG2	isjpainstallationpossible jpa installation
MTHSIG3	hasdatabaseproperties database properties
VARSIG79	modulename module
MTHSIG20	updatedatabasedotcomconfigproperties update database dot config properties ormprovider orm provider ormprovider orm provider jdbcdatabase jdbc database jdbcdatabase jdbc database hostname host username user password persistenceunit persistence unit modulename module
VARSIG70	jdbcdatabase jdbc database jdbcdatabase jdbc database
MTHSIG21	readproperties read properties path exists templatefilename template filename
MTHSIG8	newembeddableclass embeddable javatype type serializable
VARSIG74	element configuration
MTHSIG9	newidentifier identifier javatype type identifiertype identifier type identifierfield identifier field identifiercolumn identifier column
VARSIG73	element property
VARSIG72	element property
VARSIG71	modulename module
MTHSIG39	getfilters filters xpathexpression path expression element configuration
MTHSIG37	getunwantedormproviders unwanted orm providers ormprovider orm provider ormprovider orm provider
MTHSIG38	getdependencies dependencies xpathexpression path expression element configuration modulename module
MTHSIG35	updatedatanucleusplugin update data nucleus plugin addtoplugin add plugin
MTHSIG36	getunwanteddatabases unwanted databases jdbcdatabase jdbc database jdbcdatabase jdbc database
MTHSIG33	managegaebuildcommand manage gae build command addgaesettingstoplugin add gae settings plugin document document collection
MTHSIG34	managegaeprojectnature manage gae project nature addgaesettingstoplugin add gae settings plugin document document collection
METHODS	getname isinstalledinmodule installed module isjpainstallationpossible jpa installation hasdatabaseproperties database properties ispersistentclassavailable persistent getdatabaseproperties database properties configurejpa configure jpa newentity entity newembeddableclass embeddable newidentifier identifier getpersistencepathoffocussedmodule persistence path focussed module getdatabasepropertiespath database properties path getjndipropertiespath jndi properties path getpropertiespath properties path updateapplicationcontext update application context updatepersistencexml update persistence xml getconnectionstring connection managegaexml manage gae xml updatedatabaseproperties update database properties updatejndiproperties update jndi properties updatedatabasedotcomconfigproperties update database dot config properties readproperties read properties writeproperties write properties updatelog update log updatepomproperties update pom properties updatedependencies update dependencies getprojectname project updaterepositories update repositories updatepluginrepositories update plugin repositories updatefilters update filters updateresources update resources updatebuildplugins update build plugins updateeclipseplugin update plugin managegaebuildcommand manage gae build command managegaeprojectnature manage gae project nature updatedatanucleusplugin update data nucleus plugin getunwanteddatabases unwanted databases getunwantedormproviders unwanted orm providers getdependencies dependencies getfilters filters getplugins plugins getresources resources getdbxpath path getproviderxpath provider path createpropertyelement create property element createrefelement create element getpropertiesfromdatanucleusconfiguration properties data nucleus configuration
VARSIG67	ioexception exception
VARSIG66	ormprovider orm provider ormprovider orm provider
VARSIG65	ioexception exception
VARSIG64	properties props
VARSIG69	ormprovider orm provider ormprovider orm provider
VARSIG68	element configuration
MTHSIG31	updatebuildplugins update build plugins element configuration ormprovider orm provider ormprovider orm provider jdbcdatabase jdbc database jdbcdatabase jdbc database databasexpath database path providersxpath providers path modulename module
MTHSIG32	updateeclipseplugin update plugin addgaesettingstoplugin add gae settings plugin
MTHSIG30	updateresources update resources element configuration ormprovider orm provider ormprovider orm provider jdbcdatabase jdbc database jdbcdatabase jdbc database databasexpath database path providersxpath providers path modulename module
VARSIG63	exists
VARSIG62	path
VARSIG61	ioexception exception
VARSIG60	templatefilename template filename
VARSIG99	ormprovider orm provider ormprovider orm provider
VARSIG98	element configuration
VARSIG97	element pluginrepositoryelement plugin repository element
VARSIG92	element configuration
VARSIG91	element repositoryelement repository element
VARSIG90	element repositoryelement repository element
VARSIG96	element pluginrepositoryelement plugin repository element
VARSIG95	modulename module
VARSIG94	jdbcdatabase jdbc database jdbcdatabase jdbc database
VARSIG93	ormprovider orm provider ormprovider orm provider
MTHSIG17	managegaexml manage gae xml ormprovider orm provider ormprovider orm provider jdbcdatabase jdbc database jdbcdatabase jdbc database applicationid application modulename module
MTHSIG18	updatedatabaseproperties update database properties ormprovider orm provider ormprovider orm provider jdbcdatabase jdbc database jdbcdatabase jdbc database hostname host databasename database username user password modulename module
MTHSIG15	updatepersistencexml update persistence xml ormprovider orm provider ormprovider orm provider jdbcdatabase jdbc database jdbcdatabase jdbc database hostname host databasename database username user password persistenceunit persistence unit modulename module
MTHSIG16	getconnectionstring connection jdbcdatabase jdbc database jdbcdatabase jdbc database hostname host databasename database modulename module
MTHSIG13	getpropertiespath properties path propertiesfile properties file
MTHSIG14	updateapplicationcontext update application context ormprovider orm provider ormprovider orm provider jdbcdatabase jdbc database jdbcdatabase jdbc database jndi transactionmanager transaction manager persistenceunit persistence unit
MTHSIG11	getdatabasepropertiespath database properties path
MTHSIG12	getjndipropertiespath jndi properties path
MTHSIG19	updatejndiproperties update jndi properties
VARSIG89	element repositoryelement repository element
VARSIG88	modulename module
VARSIG87	jdbcdatabase jdbc database jdbcdatabase jdbc database
VARSIG86	ormprovider orm provider ormprovider orm provider
VARSIG81	element dependencyelement dependency element
MTHSIG10	getpersistencepathoffocussedmodule persistence path focussed module
VARSIG80	element dependencyelement dependency element
VARIABLES	modulename module ormprovider orm provider jdbcdatabase jdbc database jndi applicationid application hostname host databasename database username user password transactionmanager transaction manager persistenceunit persistence unit modulename module createabstract create superclass annotations serializable identifiertype identifier type identifierfield identifier field identifiercolumn identifier column propertiesfile properties file ormprovider orm provider jdbcdatabase jdbc database jndi transactionmanager transaction manager persistenceunit persistence unit ormprovider orm provider jdbcdatabase jdbc database hostname host databasename database username user password persistenceunit persistence unit modulename module jdbcdatabase jdbc database hostname host databasename database modulename module ormprovider orm provider jdbcdatabase jdbc database applicationid application modulename module ormprovider orm provider jdbcdatabase jdbc database hostname host databasename database username user password modulename module ormprovider orm provider jdbcdatabase jdbc database hostname host username user password persistenceunit persistence unit modulename module path exists templatefilename template filename path exists props ormprovider orm provider configuration ormprovider orm provider jdbcdatabase jdbc database modulename module property property configuration ormprovider orm provider jdbcdatabase jdbc database databasexpath database path providersxpath providers path modulename module dependencyelement dependency element dependencyelement dependency element dependencyelement dependency element dependencyelement dependency element modulename module configuration ormprovider orm provider jdbcdatabase jdbc database modulename module repositoryelement repository element repositoryelement repository element repositoryelement repository element configuration ormprovider orm provider jdbcdatabase jdbc database modulename module pluginrepositoryelement plugin repository element pluginrepositoryelement plugin repository element configuration ormprovider orm provider jdbcdatabase jdbc database databasexpath database path providersxpath providers path modulename module filter filterelement filter element filterelement filter element filter configuration ormprovider orm provider jdbcdatabase jdbc database databasexpath database path providersxpath providers path modulename module resource resourceelement resource element resourceelement resource element resource configuration ormprovider orm provider jdbcdatabase jdbc database databasexpath database path providersxpath providers path modulename module pluginelement plugin element pluginelement plugin element addgaesettingstoplugin add gae settings plugin addgaesettingstoplugin add gae settings plugin document addgaesettingstoplugin add gae settings plugin document addtoplugin add plugin jdbcdatabase jdbc database database ormprovider orm provider xpathexpression path expression configuration modulename module dependencyelement dependency element xpathexpression path expression configuration filterelement filter element xpathexpression path expression configuration pluginelement plugin element xpathexpression path expression configuration resourceelement resource element databases ormproviders orm providers document document propertyelement property element key jstl impl dependency logger database properties file database url database driver database username database password persistence unit gae persistence unit persistence unit application context xml jpa dialects file persistence xml pom xml filemanager file manager pathresolver path resolver projectoperations project operations propfileoperations prop file operations typelocationservice type location service typemanagementservice type management service resourcespath resources path configuration databasexpath database path providersxpath providers path modifier declaredbymetadataid declared metadata cidbuilder cid builder superclassclassorinterfacetypedetails superclass type details declaredbymetadataid declared metadata annotations modifier cidbuilder cid builder declaredbymetadataid declared metadata identifierannotations identifier annotations cidbuilder cid builder path tmpdir tmp dir contextpath context path appctx app ctx root datasource data source datasourcejndi data source jndi validationqueryelement validation query element validationquery validation query transactionmanagerelement transaction manager element aspectjtxmanager aspect manager entitymanagerfactory entity manager factory persistencepath persistence path inputstream input stream persistence root persistenceelement persistence element persistenceunitelement persistence unit element provider dialects properties isdbreproject dbre project isdbreprojectordb dbre project dialectkey dialect key connectionstring connection connectionstring connection dbdelimiter delimiter appenginepath appengine path appenginepathexists appengine path exists loggingpropertiespath logging properties path loggingpropertiespathexists logging properties path exists appengine root applicationelement application element textcontent text content templateinputstream template input stream databasepath database path databaseexists database exists jndipath jndi path props connectionstring connection driver url uname pwd haschanged changed databasepath database path jndipath jndi path props configpath config path configexists config exists connectionstring connection props haschanged changed props inputstream input stream outputstream output stream mutablefile mutable file log jpath log path log jmutablefile log mutable file props outputstream output stream dnkey key databaseproperties database properties providerproperties provider properties requireddependencies required dependencies databasedependencies database dependencies ormdependencies orm dependencies jpadependencies jpa dependencies springdependencies spring dependencies redundantdependencies redundant dependencies repositories databaserepositories database repositories ormrepositories orm repositories jparepositories jpa repositories pluginrepositories plugin repositories databasepluginrepositories database plugin repositories ormpluginrepositories orm plugin repositories redundantfilters redundant filters filters databasefilters database filters ormfilters orm filters redundantresources redundant resources resources databaseresources database resources ormresources orm resources requiredplugins required plugins databaseplugins database plugins ormplugins orm plugins redundantplugins redundant plugins pom document changesmessage message root additionalbuildcommandselement additional buildcommands element gaebuildcommandname gae build command gaebuildcommandelement gae build command element nameelement element root additionalprojectnatureselement additional projectnatures element gaeprojectnaturename gae projectnature gaeprojectnatureelement gae projectnature element pom document root configurationelement configuration element descriptionofchange description change mappingexcludeselement mapping excludes element unwanteddatabases unwanted databases unwantedormproviders unwanted orm providers dependencies dependency filters buildplugins build plugins resources builder builder property property persistencexmlpath persistence xml path document root propertyelements property elements properties key serialversionuid serial version uid
VARSIG85	element configuration
VARSIG84	modulename module
VARSIG83	element dependencyelement dependency element
VARSIG82	element dependencyelement dependency element
VARSIG39	ormprovider orm provider ormprovider orm provider
VARSIG34	modulename module
VARSIG33	persistenceunit persistence unit
VARSIG160	object
VARSIG32	password
VARSIG31	username user
VARSIG38	modulename module
VARSIG37	databasename database
PACKAGE	springframework roo addon jpa
VARSIG36	hostname host
VARSIG35	jdbcdatabase jdbc database jdbcdatabase jdbc database
VARSIG30	databasename database
VARSIG29	hostname host
VARSIG28	jdbcdatabase jdbc database jdbcdatabase jdbc database
VARSIG23	jdbcdatabase jdbc database jdbcdatabase jdbc database
VARSIG22	ormprovider orm provider ormprovider orm provider
VARSIG21	propertiesfile properties file
VARSIG150	list jdbcdatabase jdbc database databases
VARSIG20	identifiercolumn identifier column
VARSIG151	list ormprovider orm provider ormproviders orm providers
VARSIG27	ormprovider orm provider ormprovider orm provider
VARSIG152	
VARSIG26	persistenceunit persistence unit
VARSIG153	
VARSIG25	transactionmanager transaction manager
VARSIG154	document document
VARSIG24	jndi
VARSIG155	
VARSIG156	
VARSIG157	document document
VARSIG158	element propertyelement property element
VARSIG159	object key
VARSIG56	persistenceunit persistence unit
VARSIG55	password
VARSIG54	username user
VARSIG53	hostname host
VARSIG59	exists
VARSIG58	path
VARSIG57	modulename module
VARSIG52	jdbcdatabase jdbc database jdbcdatabase jdbc database
VARSIG51	ormprovider orm provider ormprovider orm provider
VARSIG50	modulename module
VARSIG45	jdbcdatabase jdbc database jdbcdatabase jdbc database
VARSIG44	ormprovider orm provider ormprovider orm provider
VARSIG43	ioexception exception
VARSIG42	modulename module
VARSIG49	password
VARSIG48	username user
VARSIG47	databasename database
VARSIG46	hostname host
VARSIG41	applicationid application
VARSIG40	jdbcdatabase jdbc database jdbcdatabase jdbc database
VARSIG120	jdbcdatabase jdbc database jdbcdatabase jdbc database
VARSIG121	databasexpath database path
VARSIG122	providersxpath providers path
VARSIG123	modulename module
VARSIG124	element pluginelement plugin element
VARSIG125	element pluginelement plugin element
VARSIG126	addgaesettingstoplugin add gae settings plugin
VARSIG127	addgaesettingstoplugin add gae settings plugin
VARSIG128	document document
VARSIG129	collection
VARSIG110	jdbcdatabase jdbc database jdbcdatabase jdbc database
VARSIG111	databasexpath database path
VARSIG112	providersxpath providers path
VARSIG113	modulename module
VARSIG114	resource resource
VARSIG115	element resourceelement resource element
VARSIG116	element resourceelement resource element
VARSIG117	resource resource
VARSIG118	element configuration
VARSIG119	ormprovider orm provider ormprovider orm provider
COMMENTS	implementation link jpaoperations jpa operations constants fields access unit tests inject mocks parse configuration xml file xpath path expressions unwanted databases orm providers unit testing path checking existence configurations abort there existing persistence config file read addon addon template file add provider element add properties roo roo roo connection properties file oracle connection url roo existing database configuration exit write database properties file log message console databasename database updates pom dependencies required database orm provider removing persistence dependencies configuration ormprovider orm provider jdbcdatabase jdbc database databasexpath database path providersxpath providers path hard coded jpa hibernate validator remove redundant dependencies don remove update pom add repositories pom xml add plugin repositories pom xml remove redundant filters add required filters remove redundant resources add required resources identify required plugins identify redundant plugins don remove required update pom manage mappingexcludes mapping excludes required properties ignore elements
VARSIG19	identifierfield identifier field
VARSIG18	javatype type identifiertype identifier type
VARSIG17	serializable
VARSIG12	javatype type
VARSIG11	modulename module
VARSIG10	persistenceunit persistence unit
VARSIG140	element dependencyelement dependency element
VARSIG16	javatype type
VARSIG141	xpathexpression path expression
VARSIG15	list annotationmetadatabuilder annotation metadata builder annotations
VARSIG142	element configuration
VARSIG14	javatype type superclass
VARSIG143	element filterelement filter element
VARSIG13	createabstract create
VARSIG144	xpathexpression path expression
VARSIG145	element configuration
VARSIG146	element pluginelement plugin element
VARSIG147	xpathexpression path expression
VARSIG148	element configuration
VARSIG149	element resourceelement resource element
VARSIG130	addgaesettingstoplugin add gae settings plugin
VARSIG131	document document
VARSIG132	collection
VARSIG133	addtoplugin add plugin
VARSIG134	jdbcdatabase jdbc database jdbcdatabase jdbc database
VARSIG135	jdbcdatabase jdbc database database
VARSIG136	ormprovider orm provider ormprovider orm provider
VARSIG137	xpathexpression path expression
VARSIG138	element configuration
VARSIG139	modulename module
CLASSES	jpaoperationsimpl jpa operations impl
VARSIG7	username user
VARSIG109	ormprovider orm provider ormprovider orm provider
VARSIG6	databasename database
VARSIG9	transactionmanager transaction manager
VARSIG8	password
MTHSIG46	getpropertiesfromdatanucleusconfiguration properties data nucleus configuration
VARSIG3	jndi
VARSIG2	jdbcdatabase jdbc database jdbcdatabase jdbc database
MTHSIG44	createpropertyelement create property element document document
VARSIG5	hostname host
MTHSIG45	createrefelement create element document document
VARSIG4	applicationid application
VARSIG1	ormprovider orm provider ormprovider orm provider
VARSIG0	modulename module
VARSIG100	jdbcdatabase jdbc database jdbcdatabase jdbc database
MTHSIG42	getdbxpath path list jdbcdatabase jdbc database databases
VARSIG101	databasexpath database path
MTHSIG43	getproviderxpath provider path list ormprovider orm provider ormproviders orm providers
VARSIG102	providersxpath providers path
MTHSIG40	getplugins plugins xpathexpression path expression element configuration
VARSIG103	modulename module
MTHSIG41	getresources resources xpathexpression path expression element configuration
VARSIG104	filter filter
VARSIG105	element filterelement filter element
VARSIG106	element filterelement filter element
VARSIG107	filter filter
VARSIG108	element configuration
