VARSIG3	element element
VARSIG2	
VARSIG5	property
VARSIG4	object obj
COMMENTS	simplified immutable representation property fields convenience constructor creating property instance property required property required convenience constructor creating property instance property required convenience constructor creating property instance xml element element property definition required property property property
CLASSES	property
VARSIG1	
VARSIG0	
METHODS	property property property getname getvalue hashcode hash code equals compareto compare tostring
MTHSIG4	getvalue
MTHSIG5	hashcode hash code
MTHSIG6	equals object obj
MTHSIG7	compareto compare property
MTHSIG0	property
MTHSIG1	property
PACKAGE	springframework roo project
MTHSIG2	property element element
MTHSIG3	getname
VARIABLES	element obj prime result result tsc
MTHSIG8	tostring
