VARSIG3	pom module
VARSIG2	javatype type javatype type
VARSIG5	javapackage toplevelpackage top level
VARSIG4	fullyqualifiedname fully qualified
COMMENTS	records type fields
CLASSES	lastusedimpl impl
VARSIG1	javatype type javatype type
VARSIG0	javapackage javapackage
METHODS	setpackage set settype set type settype set type setpromptpath set prompt path gettoplevelpackage top level settoplevelpackage set top level getjavatype type getjavapackage
MTHSIG4	gettoplevelpackage top level
MTHSIG5	settoplevelpackage set top level javapackage toplevelpackage top level
MTHSIG6	getjavatype type
MTHSIG7	getjavapackage
MTHSIG0	setpackage set javapackage javapackage
MTHSIG1	settype set type javatype type javatype type
PACKAGE	springframework roo classpath converters
MTHSIG2	settype set type javatype type javatype type pom module
MTHSIG3	setpromptpath set prompt path fullyqualifiedname fully qualified
VARIABLES	javapackage javatype type javatype type module fullyqualifiedname fully qualified toplevelpackage top level shell typelocationservice type location service projectoperations project operations javapackage toplevelpackage top level javatype type module modulename module path
