MTHSIG4	isautomatictrust automatic trust
MTHSIG5	setautomatictrust set automatic trust automatictrust automatic trust
MTHSIG6	gettrustedkeys trusted
MTHSIG7	trust pgpkeyid pgp key keyid key
VARSIG31	pgppublickeyring pgp key ring keyring key ring
MTHSIG0	activate componentcontext component context context
MTHSIG1	trustdefaultkeysifrequired trust required
PACKAGE	springframework roo felix pgp
MTHSIG2	trustdefaultkeys trust
MTHSIG3	getkeystorephysicallocation key store physical location
MTHSIG8	trust pgppublickeyring pgp key ring keyring key ring
VARSIG30	exception
MTHSIG9	untrust pgpkeyid pgp key keyid key
CLASSES	pgpserviceimpl pgp service impl
VARSIG29	inputstream input stream signature
VARSIG28	inputstream input stream resource
METHODS	activate trustdefaultkeysifrequired trust required trustdefaultkeys trust getkeystorephysicallocation key store physical location isautomatictrust automatic trust setautomatictrust set automatic trust gettrustedkeys trusted trust trust untrust refresh getpublickey key getpublickey key getkeyserverurltoretrievekeyid key server url retrieve key getkeyserverurltoretrievekeyinformation key server url retrieve key issignatureacceptable signature acceptable isresourcesignedbysignature resource signed signature getdiscoveredkeyids discovered key ids rememberkey remember key
VARSIG23	pgpkeyid pgp key keyid key
VARSIG22	malformedurlexception malformed url exception
VARSIG21	pgpkeyid pgp key keyid key
VARSIG20	exception
VARSIG27	pgppublickeyring pgp key ring keyring key ring
VARSIG26	exception
VARSIG25	inputstream input stream signature
VARSIG24	malformedurlexception malformed url exception
VARSIG7	exception
VARSIG6	automatictrust automatic trust
VARSIG9	pgppublickeyring pgp key ring keyring key ring
VARSIG8	pgpkeyid pgp key keyid key
VARSIG3	url url
VARSIG2	url url url
VARSIG5	ioexception exception
VARSIG4	ioexception exception
COMMENTS	implementation link pgpservice pgp service stores user user pgp spring roo pgp bpg file key file considered trusted user expiration times ship roo file automatically file disk implementation verify detached armored signatures produce file gpg armor detach sign file sign ext constants fields defaultkeyserverurl key server url http pgp mit pks lookup search instance fields seed discovered database setup trust automatically uris pgp keystore files installed osgi bundles trust trust store key revoked trust write disk trust build list trust ends locate element remove record write disk trust build list refreshed locate element remove record refresh can retrieve store key revoked write disk obtains url download key key server key uploaded keyid key hex encoded key download required url special store key valid loop user trusts key don approve signature user told verify signed content simply stores key link discoveredkeyids discovered key ids reference key ids link pgppublickeyring pgp key ring ensure input valid key locating key ids signed key note link discoveredkeyids discovered key ids key functions simply user convenience keyring key ring key store required
VARSIG19	inputstream input stream
VARSIG1	url url url
VARSIG18	exception
VARSIG0	componentcontext component context context
VARSIG17	pgpkeyid pgp key keyid key
VARSIG12	pgppublickeyring pgp key ring candidate
VARSIG11	pgpkeyid pgp key keyid key
VARSIG10	exception
VARSIG16	exception
VARSIG15	exception
VARSIG14	pgppublickeyring pgp key ring candidate
VARSIG13	exception
MTHSIG17	getdiscoveredkeyids discovered key ids
MTHSIG18	rememberkey remember key pgppublickeyring pgp key ring keyring key ring
MTHSIG15	issignatureacceptable signature acceptable inputstream input stream signature
MTHSIG16	isresourcesignedbysignature resource signed signature inputstream input stream resource inputstream input stream signature
MTHSIG13	getkeyserverurltoretrievekeyid key server url retrieve key pgpkeyid pgp key keyid key
MTHSIG14	getkeyserverurltoretrievekeyinformation key server url retrieve key pgpkeyid pgp key keyid key
MTHSIG11	getpublickey key pgpkeyid pgp key keyid key
MTHSIG12	getpublickey key inputstream input stream
MTHSIG10	refresh
VARIABLES	context url url url url url automatictrust automatic trust keyid key keyring key ring keyid key candidate candidate keyid key keyid key keyid key signature keyring key ring resource signature keyring key ring buffer size roo pgp file defaultkeyserverurl key server url urlinputstreamservice url input stream service automatictrust automatic trust context discoveredkeyids discovered key ids keyserver urls inputstream input stream fis pubrings pub rings rit result pgppub pgp pub keyring key ring trusted fos newcollection collection trusted stilltrusted trusted removed stilltrust trust pgpkey pgp key candidatekeyid candidate key fos newcollection collection result trusted stilltrusted trusted firstkey key candidatekeyid candidate key newkeyring key ring fos newcollection collection lookup obj pgpfact pgp fact keyring key ring keyurl key url keyindexurl key url factory obj pgpsignature pgp signature keyidinhex key hex signatureacceptable signature acceptable candidate publickey key pgpsignature pgp signature keyring key ring buff chunk key keyid key useriditerator user iterator userid user signatureiterator signature iterator signature signaturekeyid signature key
