VARSIG6	memberholdingtypedetails member holding type details key
VARSIG3	declaredby declared
VARSIG2	customdatakey custom data key memberholdingtypedetails member holding type details customdatakey custom data key
VARSIG5	memberholdingtypedetails member holding type details memberholdingtypedetails member holding type details
VARSIG4	list memberholdingtypedetails member holding type details memberholdingtypedetailslist member holding type details list
COMMENTS	link memberholdingtypedetails member holding type details specific implementation link matcher matches based type type mid fields constructor customdatakey custom data key declaredby declared declaring required constructor customdatakey custom data key declaredby declared required
CLASSES	midtypematcher mid type matcher
VARSIG1	declaredby declared
VARSIG0	customdatakey custom data key memberholdingtypedetails member holding type details customdatakey custom data key
METHODS	midtypematcher mid type matcher midtypematcher mid type matcher matches getcustomdatakey custom data key gettagvalue tag
MTHSIG4	gettagvalue tag memberholdingtypedetails member holding type details key
MTHSIG0	midtypematcher mid type matcher customdatakey custom data key memberholdingtypedetails member holding type details customdatakey custom data key declaredby declared
MTHSIG1	midtypematcher mid type matcher customdatakey custom data key memberholdingtypedetails member holding type details customdatakey custom data key declaredby declared
PACKAGE	springframework roo classpath customdata taggers
MTHSIG2	matches list memberholdingtypedetails member holding type details memberholdingtypedetailslist member holding type details list
MTHSIG3	getcustomdatakey custom data key
VARIABLES	customdatakey custom data key declaredby declared customdatakey custom data key declaredby declared memberholdingtypedetailslist member holding type details list memberholdingtypedetails member holding type details key customdatakey custom data key declaredby declared types
