VARSIG7	methodname
VARSIG6	targetname target
VARSIG9	list methodparameter parameter parameters
VARSIG8	isstatic
VARSIG3	isstatic
VARSIG2	methodname
VARSIG5	classorinterfacetypedetailsbuilder type details builder builder
VARSIG4	methodparameter parameter parameters
COMMENTS	required additions type order invoke application layer findall find instances immutable fields factory builds call target array parameter names builder stores caller order call field target required targetname target object invoked blank valid methodname invoked valid isstatic invoked parameternames parameter names names parameters passed required factory builds call target list parameter names builder stores caller order call field target required targetname target object invoked blank valid methodname invoked valid isstatic invoked parameternames parameter names names parameters passed required builds code snippet call properties targetname target object invoked blank valid methodname invoked valid parameternames parameter names names parameters passed blank snippet constructor takes pre built call builder stores caller order call field target caller requires call methodname bare invoked required methodcall call valid snippet calls including required target parameters foo bar baz required isstatic invoked methodparameters parameters parameters invoked copies instance instance additions builder targetbuilder target builder builder receive additions required governorclassorinterfacetypedetails governor type details link classorinterfacetypedetails type details governor required returns bare invoked blank returns snippet code calls question personservice person service findall find blank returns parameters invoked copy list returns field invoked call illegalstateexception illegal exception there field builder call
VARSIG19	classorinterfacetypedetails type details governorclassorinterfacetypedetails governor type details
VARSIG1	targetname target
VARSIG18	abstractmemberholdingtypedetailsbuilder member holding type details builder targetbuilder target builder
VARSIG0	classorinterfacetypedetailsbuilder type details builder builder
VARSIG17	list methodparameter parameter methodparameters parameters
MTHSIG4	copyadditionsto copy additions abstractmemberholdingtypedetailsbuilder member holding type details builder targetbuilder target builder classorinterfacetypedetails type details governorclassorinterfacetypedetails governor type details
VARSIG12	collection methodparameter parameter parameters
MTHSIG5	getmethodname
VARSIG11	methodname
MTHSIG6	getmethodcall call
VARSIG10	targetname target
MTHSIG7	getmethodparameters parameters
MTHSIG0	getinstance instance classorinterfacetypedetailsbuilder type details builder builder targetname target methodname isstatic methodparameter parameter parameters
VARSIG16	isstatic
MTHSIG1	getinstance instance classorinterfacetypedetailsbuilder type details builder builder targetname target methodname isstatic list methodparameter parameter parameters
VARSIG15	methodcall call
PACKAGE	springframework roo classpath layers
MTHSIG2	buildmethodcall build call targetname target methodname collection methodparameter parameter parameters
VARSIG14	methodname
MTHSIG3	membertypeadditions member type additions classorinterfacetypedetailsbuilder type details builder builder methodname methodcall call isstatic list methodparameter parameter methodparameters parameters
VARSIG13	classorinterfacetypedetailsbuilder type details builder builder
MTHSIG8	getinvokedfield invoked field
MTHSIG9	isstatic
CLASSES	membertypeadditions member type additions
METHODS	getinstance instance getinstance instance buildmethodcall build call membertypeadditions member type additions copyadditionsto copy additions getmethodname getmethodcall call getmethodparameters parameters getinvokedfield invoked field isstatic tostring
MTHSIG10	tostring
VARIABLES	builder targetname target methodname isstatic parameters builder targetname target methodname isstatic parameters targetname target methodname parameters builder methodname methodcall call isstatic methodparameters parameters targetbuilder target builder governorclassorinterfacetypedetails governor type details isstatic classorinterfacedetailsbuilder details builder methodparameters parameters methodname methodcall call methodcall call iter parameter declaredfields declared fields tsc
