MTHSIG28	updategaehelper update gae helper
MTHSIG29	copydirectorycontents copy directory contents
MTHSIG26	updatedependencies update dependencies element configuration
MTHSIG27	updatewebxml update web xml
MTHSIG24	getpompath pom path
MTHSIG25	updaterepositories update repositories element configuration
MTHSIG22	updateeclipseplugin update plugin
MTHSIG23	updatebuildoutputdirectory update build output directory
MTHSIG4	isscaffoldavailable scaffold
MTHSIG5	setup
MTHSIG6	proxyall proxy javapackage proxypackage proxy
MTHSIG7	proxytype proxy type javapackage proxypackage proxy javatype type type
MTHSIG0	activate componentcontext component context context
MTHSIG1	getname
MTHSIG2	isinstalledinmodule installed module modulename module
MTHSIG3	isgwtinstallationpossible gwt installation
MTHSIG20	createscaffold create scaffold classorinterfacetypedetails type details proxy
MTHSIG21	updatescaffoldboilerplate update scaffold boiler plate
MTHSIG8	requestall request javapackage proxypackage proxy
MTHSIG9	requesttype request type javapackage requestpackage request javatype type type
MTHSIG35	removeiffound remove xpath element webxmlroot web xml root
MTHSIG36	getgaehookup gae hookup
MTHSIG33	processtemplate process template input segmentpackage segment
MTHSIG34	updatebuildplugins update build plugins isgaeenabled gae enabled
METHODS	activate getname isinstalledinmodule installed module isgwtinstallationpossible gwt installation isscaffoldavailable scaffold setup proxyall proxy proxytype proxy type requestall request requesttype request type proxyandrequestall proxy request proxyandrequesttype proxy request type scaffoldall scaffold scaffoldtype scaffold type updategaeconfiguration update gae configuration addpackagetogwtxml add gwt xml createproxy create proxy createrequestinterfaceifnecessary create request createrequestinterface create request getroogwtrequestannotation roo gwt request annotation createscaffold create scaffold updatescaffoldboilerplate update scaffold boiler plate updateeclipseplugin update plugin updatebuildoutputdirectory update build output directory getpompath pom path updaterepositories update repositories updatedependencies update dependencies updatewebxml update web xml updategaehelper update gae helper copydirectorycontents copy directory contents copydirectorycontents copy directory contents deleteuntouchedsetupfiles delete untouched setup files updatefile update file processtemplate process template updatebuildplugins update build plugins removeiffound remove getgaehookup gae hookup
MTHSIG31	deleteuntouchedsetupfiles delete untouched setup files sourceantpath source ant path targetdirectory target directory
MTHSIG32	updatefile update file sourceantpath source ant path targetdirectory target directory segmentpackage segment overwrite
MTHSIG30	copydirectorycontents copy directory contents gwtpath gwt path gwtpath gwt path
COMMENTS	implementation link gwtoperations gwt operations constants fields install web pieces installed add gwt natures builder names maven plugin add outputdirectory output directory build element pom add pom repositories add dependencies update web xml update gwt maven plugin update gaehelper gae helper type ensure gwt maven plugin gae enabled disabled environment updated appengine sdk denoted gae type add appengine api sdk dependency pom xml file copy missing files gae changed enabled builds entity entity requestcontext request context note don generate entire roogwtrequest roo gwt request annotation invoke metadata provider takes generates remaining code declarations servicename service annotation analogous based addons work adding trigger annotation letting metadata provider metadata provider correctly respond project entity entity create gwt request required destinationpackage destination create request required trigger gwtrequestmetadataprovider gwt request metadata provider finish generating code gwtrequestmetadataprovider gwt request metadata provider doesn excluded methods actively adds required crud methods updates plugin pom gwt details load pom add gwt buildcommand build command add gwt projectnature sets pom pom output directory output directory set read pom create file targetfilename target filename delete read template insert user user output file user update pom
VARSIG19	javapackage requestpackage request
VARSIG18	javapackage proxypackage proxy
VARSIG17	classorinterfacetypedetails type details proxy
VARSIG12	javapackage proxyandrequestpackage proxy request
VARSIG11	javatype type type
VARSIG10	javapackage requestpackage request
VARSIG16	javapackage requestpackage request
VARSIG15	javapackage proxypackage proxy
VARSIG14	javatype type type
VARSIG13	javapackage proxyandrequestpackage proxy request
MTHSIG17	createrequestinterfaceifnecessary create request classorinterfacetypedetails type details entity javapackage destinationpackage destination
MTHSIG18	createrequestinterface create request classorinterfacetypedetails type details entity javapackage destinationpackage destination
MTHSIG15	addpackagetogwtxml add gwt xml javapackage sourcepackage source
MTHSIG16	createproxy create proxy classorinterfacetypedetails type details entity javapackage destinationpackage destination
MTHSIG13	scaffoldtype scaffold type javapackage proxypackage proxy javapackage requestpackage request javatype type type
MTHSIG14	updategaeconfiguration update gae configuration
MTHSIG11	proxyandrequesttype proxy request type javapackage proxyandrequestpackage proxy request javatype type type
MTHSIG12	scaffoldall scaffold javapackage proxypackage proxy javapackage requestpackage request
MTHSIG19	getroogwtrequestannotation roo gwt request annotation classorinterfacetypedetails type details entity
MTHSIG10	proxyandrequestall proxy request javapackage proxyandrequestpackage proxy request
VARIABLES	context modulename module buildplugin build plugin proxyorrequest proxy request proxypackage proxy entity proxypackage proxy type proxypackage proxy entity requestpackage request type proxyandrequestpackage proxy request proxyandrequestpackage proxy request type proxypackage proxy requestpackage request proxy proxypackage proxy requestpackage request type sourcepackage source entity destinationpackage destination entity destinationpackage destination entity destinationpackage destination entity proxy existingannotation existing annotation configuration repositoryelement repository element repositoryelement repository element configuration dependencyelement dependency element path gwtpath gwt path sourceantpath source ant path targetdirectory target directory url sourceantpath source ant path targetdirectory target directory segmentpackage segment overwrite url input segmentpackage segment isgaeenabled gae enabled pluginelement plugin element plugin xpath webxmlroot web xml root toremove remove gwt build command gwt project nature maven plugin output directory filemanager file manager gwttemplateservice gwt template service gwttypeservice gwt type service metadataservice metadata service persistencememberlocator persistence member locator projectoperations project operations typelocationservice type location service typemanagementservice type management service webmvcoperations web mvc operations context wasgaeenabled gae enabled pom toppackagename top gwtconfigs gwt configs gwtalreadysetup gwt setup sourceantpath source ant path targetdirectory target directory cidbuilder cid builder annotationmetadata annotation metadata annotationmetadatabuilder annotation metadata builder annotationmetadata annotation metadata annotationmetadatabuilder annotation metadata builder configuration entity request entity proxy request isgaeenabled gae enabled hasgaestatechanged gae changed rootpath root path files configuration gaedependency gae dependency gwtconfig gwt config moduleroot module root toplevelpackage top level relativepackage relative existingproxy existing proxy proxytype proxy type focusedmodule focused module proxylogicalpath proxy logical path cidbuilder cid builder attributevalues attribute values stringattributevalue attribute locator locatorattributevalue locator attribute readonlyvalues read values versionfield version field idfields fields readonlyattribute read attribute requesttype request type focusedsrcmainjava focused src requestbuilder request builder entityattributevalue entity attribute gwtrequestattributevalues gwt request attribute values annotationmetadata annotation metadata booleanattributevalue attribute cidbuilder cid builder annotationmetadatabuilder annotation metadata builder targetdirectory target directory pom document root additionalbuildcommandselement additional build commands element gwtbuildcommandelement gwt build command element nameelement element additionalprojectnatureselement additional project natures element gwtprojectnatureelement gwt project nature element pom document root outputdirectoryelement output directory element buildelement build element repositories gwtrepositories gwt repositories gwtpluginrepositories gwt plugin repositories dependencies gwtdependencies gwt dependencies webxmlpath web xmlpath webxml web xml root displayname display webresourcecollection web resource collection rolenames role names userdataconstraint user data constraint filter filtermapping filter mapping securityconstraint security constraint sourceantpath source ant path segmentpackage segment targetdirectory target directory sourceantpath source ant path targetdirectory target directory path uris filename file targetfilename target filename input existing path urls filename file targetfilename target filename input toplevelpackage top level xpathexpression path expression pluginelements plugin elements defaultplugin plugin builder
VARSIG39	targetdirectory target directory
VARSIG34	element configuration
VARSIG33	element repositoryelement repository element
VARSIG32	element repositoryelement repository element
VARSIG31	element configuration
VARSIG38	sourceantpath source ant path
VARSIG37	gwtpath gwt path gwtpath gwt path
PACKAGE	springframework roo addon gwt
VARSIG36	gwtpath gwt path path
VARSIG35	element dependencyelement dependency element
VARSIG30	annotationmetadatabuilder annotation metadata builder existingannotation existing annotation
CLASSES	gwtoperationsimpl gwt operations impl
VARSIG29	classorinterfacetypedetails type details proxy
VARSIG28	classorinterfacetypedetails type details entity
VARSIG23	javapackage destinationpackage destination
VARSIG22	classorinterfacetypedetails type details entity
VARSIG21	javapackage sourcepackage source
VARSIG20	javatype type type
VARSIG27	javapackage destinationpackage destination
VARSIG26	classorinterfacetypedetails type details entity
VARSIG25	javapackage destinationpackage destination
VARSIG24	classorinterfacetypedetails type details entity
VARSIG7	javatype type type
VARSIG6	javapackage proxypackage proxy
VARSIG9	classorinterfacetypedetails type details entity
VARSIG8	javapackage proxypackage proxy
VARSIG3	classorinterfacetypedetails type details proxyorrequest proxy request
VARSIG2	plugin buildplugin build plugin
VARSIG5	classorinterfacetypedetails type details entity
VARSIG4	javapackage proxypackage proxy
VARSIG1	modulename module
VARSIG0	componentcontext component context context
VARSIG55	element toremove remove
VARSIG54	element webxmlroot web xml root
VARSIG53	xpath
VARSIG52	plugin plugin
VARSIG51	element pluginelement plugin element
VARSIG50	isgaeenabled gae enabled
VARSIG45	overwrite
VARSIG44	segmentpackage segment
VARSIG43	targetdirectory target directory
VARSIG42	sourceantpath source ant path
VARSIG49	segmentpackage segment
VARSIG48	input
VARSIG47	ioexception exception
VARSIG46	url url
VARSIG41	ioexception exception
VARSIG40	url url
