VARSIG7	set excludetables exclude tables
VARSIG6	set includetables include tables
VARSIG3	database database
VARSIG2	evictcache evict cache
VARSIG5	view
VARSIG4	set schema schemas
COMMENTS	retrieves database metadata dbre xml file jdbc connection writes database metadata dbre xml file dbre xml file schema databases support schemas mysql sql determines database schemas examples databases schemas mysql sql firebird displayaddons display add ons display add ons required database supports schema runtimeexception runtime exception problem acquiring connection returns set database link schema schemas displayaddons display add ons display add ons required set schemas reads database metadata cache dbre xml file evictcache evict cache forces eviction database cache attempting retrieval database metadata parsed unavailable reason serializes database dbre xml file database database written disk retrieves database metadata jdbc connection schemas schema query required view database views retrieved includetables include tables set table names include excludetables exclude tables set table names exlude database metadata connect database schema
CLASSES	dbremodelservice dbre model service
VARSIG1	displayaddons display add ons
VARSIG0	displayaddons display add ons
METHODS	supportsschema supports schema getschemas schemas getdatabase database writedatabase write database refreshdatabase refresh database
MTHSIG4	refreshdatabase refresh database set schema schemas view set includetables include tables set excludetables exclude tables
MTHSIG0	supportsschema supports schema displayaddons display add ons
MTHSIG1	getschemas schemas displayaddons display add ons
PACKAGE	springframework roo addon dbre model
MTHSIG2	getdatabase database evictcache evict cache
MTHSIG3	writedatabase write database database database
VARIABLES	displayaddons display add ons displayaddons display add ons evictcache evict cache database schemas view includetables include tables excludetables exclude tables dbre xml schema required
