MTHSIG28	build
MTHSIG26	getattributes attributes
MTHSIG27	setattributes set attributes collection annotationattributevalue annotation attribute attributevalues attribute values
MTHSIG24	getannotationtype annotation type
MTHSIG25	setannotationtype set annotation type javatype type annotationtype annotation type
MTHSIG22	addattribute add attribute annotationattributevalue annotation attribute
MTHSIG23	removeattribute remove attribute key
VARSIG39	
MTHSIG4	annotationmetadatabuilder annotation metadata builder
VARSIG34	key
MTHSIG5	annotationmetadatabuilder annotation metadata builder annotationmetadata annotation metadata existing
VARSIG33	enumdetails details details
MTHSIG6	annotationmetadatabuilder annotation metadata builder annotationtype annotation type
VARSIG32	key
MTHSIG7	annotationmetadatabuilder annotation metadata builder annotationtype annotation type
VARSIG31	javasymbolname symbol enumconstant constant
MTHSIG0	getinstance instance annotationtype annotation type
VARSIG38	key
MTHSIG1	getinstance instance javatype type annotationtype annotation type
VARSIG37	
PACKAGE	springframework roo classpath details annotations
MTHSIG2	getinstance instance javatype type annotationtype annotation type collection annotationattributevalue annotation attribute attributevalues attribute values
VARSIG36	key
MTHSIG3	getinstance instance annotationtype annotation type
VARSIG35	
MTHSIG20	addlongattribute add attribute key
MTHSIG21	addstringattribute add attribute key
MTHSIG8	annotationmetadatabuilder annotation metadata builder javatype type annotationtype annotation type
VARSIG30	javatype type javatype type
MTHSIG9	annotationmetadatabuilder annotation metadata builder javatype type annotationtype annotation type collection annotationattributevalue annotation attribute attributevalues attribute values
CLASSES	annotationmetadatabuilder annotation metadata builder
VARSIG29	key
VARSIG28	enumconstant constant
METHODS	getinstance instance getinstance instance getinstance instance getinstance instance annotationmetadatabuilder annotation metadata builder annotationmetadatabuilder annotation metadata builder annotationmetadatabuilder annotation metadata builder annotationmetadatabuilder annotation metadata builder annotationmetadatabuilder annotation metadata builder annotationmetadatabuilder annotation metadata builder addbooleanattribute add attribute addcharattribute add attribute addclassattribute add attribute addclassattribute add attribute adddoubleattribute add attribute addenumattribute add attribute addenumattribute add attribute addenumattribute add attribute addenumattribute add attribute addintegerattribute add integer attribute addlongattribute add attribute addstringattribute add attribute addattribute add attribute removeattribute remove attribute getannotationtype annotation type setannotationtype set annotation type getattributes attributes setattributes set attributes build
VARSIG23	key
VARSIG22	floatingprecisiononly floating precision
VARSIG21	
VARSIG20	key
VARSIG27	javatype type javatype type
VARSIG26	key
VARSIG25	enumconstant constant
VARSIG24	fullyqualifiedtypename fully qualified type
VARSIG7	annotationtype annotation type
VARSIG6	javasymbolname symbol attributename attribute
VARSIG9	javatype type annotationtype annotation type
VARSIG8	annotationtype annotation type
VARSIG3	collection annotationattributevalue annotation attribute attributevalues attribute values
VARSIG2	javatype type annotationtype annotation type
VARSIG5	annotationmetadata annotation metadata existing
VARSIG4	annotationtype annotation type
COMMENTS	builder link annotationmetadata annotation metadata add replace existing annotation attribute care preserve location constants jpa annotations literal names roo depend jpa returns metadata existing annotation attribute values annotationtype annotation type fully qualified annotation type required instance returns metadata existing annotation attribute values annotationtype annotation type annotation type required instance fields constructor caller set annotation type link setannotationtype set annotation type javatype type calling link build constructor existing link annotationmetadata annotation metadata baseline building instance existing required constructor initial attribute values annotationtype annotation type annotation required constructor initial attribute values annotationtype annotation type fully qualified annotation type required constructor initial attribute values annotationtype annotation type constructor accepts optional list values annotationtype annotation type attributevalues attribute values adds attribute link javatype type key attribute required javatype type required locate existing attribute key replace locate existing attribute key replace sets attribute values attributevalue attributevalue values set
VARSIG19	javatype type javatype type
VARSIG1	javatype type annotationtype annotation type
VARSIG18	key
VARSIG0	annotationtype annotation type
VARSIG17	fullyqualifiedtypename fully qualified type
VARSIG12	key
VARSIG11	collection annotationattributevalue annotation attribute attributevalues attribute values
VARSIG10	javatype type annotationtype annotation type
VARSIG16	key
VARSIG15	
VARSIG14	key
VARSIG13	
MTHSIG17	addenumattribute add attribute key javatype type javatype type javasymbolname symbol enumconstant constant
MTHSIG18	addenumattribute add attribute key enumdetails details details
MTHSIG15	addenumattribute add attribute key fullyqualifiedtypename fully qualified type enumconstant constant
MTHSIG16	addenumattribute add attribute key javatype type javatype type enumconstant constant
MTHSIG13	addclassattribute add attribute key javatype type javatype type
MTHSIG14	adddoubleattribute add attribute key floatingprecisiononly floating precision
MTHSIG11	addcharattribute add attribute key
MTHSIG12	addclassattribute add attribute key fullyqualifiedtypename fully qualified type
MTHSIG19	addintegerattribute add integer attribute key
VARSIG44	annotationattributevalue annotation attribute attributevalue attribute
VARSIG43	collection annotationattributevalue annotation attribute attributevalues attribute values
VARSIG42	javatype type annotationtype annotation type
MTHSIG10	addbooleanattribute add attribute key
VARIABLES	annotationtype annotation type annotationtype annotation type annotationtype annotation type attributevalues attribute values annotationtype annotation type existing attributename attribute annotationtype annotation type annotationtype annotation type annotationtype annotation type annotationtype annotation type attributevalues attribute values key key key fullyqualifiedtypename fully qualified type key javatype type key floatingprecisiononly floating precision key fullyqualifiedtypename fully qualified type enumconstant constant key javatype type enumconstant constant key javatype type enumconstant constant key details key key key key annotationtype annotation type attributevalues attribute values attributevalue attribute jpa column annotation jpa embedded annotation jpa embedded annotation jpa enumerated annotation jpa annotation jpa lob annotation jpa annotation jpa annotation jpa annotation jpa annotation jpa annotation jpa version annotation annotationtype annotation type attributevalues attribute values details details details
VARSIG41	key
VARSIG40	annotationattributevalue annotation attribute
