VARSIG7	parseexception parse exception
VARSIG6	javatype type typename type
VARSIG9	compilationunitservices compilation unit services enclosingcompilationunitservices enclosing compilation unit services
VARSIG8	compilationunit compilation unit compilationunit compilation unit
VARSIG3	javatype type typename type
VARSIG2	declaredbymetadataid declared metadata
VARSIG5	declaredbymetadataid declared metadata
VARSIG4	filecontents file contents
COMMENTS	fields create compilation unit store type created list replaced sorted version add declaration compilation unit appends presented presented body declarations body declarations presented compilation unit progressively build types compilationunit compilation unit work progress compilation unit required enclosingcompilationunitservices enclosing compilation unit services cid add required parent body declarations subclass denotes top level type compilation unit append imports declares create declaration represent actual type handling top level type type superclass handling handling adding top level type add compilation unit types top level enclosing compilationunitservices compilation unit services compilationunitservices compilation unit services created create compilation unit javatype type metadata methods hybrid compilationunitservices compilation unit services references enclosing types imports add type annotations add constants interfaces handling add fields add constructors add methods add types determine location insert
VARSIG19	constructormetadata constructor metadata candidate
VARSIG1	fileidentifier file identifier
VARSIG18	fieldmetadata field metadata candidate
VARSIG0	classorinterfacetypedetails type details cid
VARSIG17	javasymbolname symbol constant
MTHSIG4	addenumconstant add constant list enumconstantdeclaration constant declaration constants javasymbolname symbol
VARSIG12	importmetadata metadata importtype type
VARSIG11	list bodydeclaration body declaration parent
VARSIG10	classorinterfacetypedetails type details cid
MTHSIG0	getcompilationunitcontents compilation unit contents classorinterfacetypedetails type details cid
VARSIG16	annotationmetadata annotation metadata candidate
MTHSIG1	gettypeatlocation type location fileidentifier file identifier declaredbymetadataid declared metadata javatype type typename type
VARSIG15	javatype type current
PACKAGE	springframework roo classpath javaparser
MTHSIG2	gettypefromstring type filecontents file contents declaredbymetadataid declared metadata javatype type typename type
VARSIG14	javatype type
MTHSIG3	updateoutput update output compilationunit compilation unit compilationunit compilation unit compilationunitservices compilation unit services enclosingcompilationunitservices enclosing compilation unit services classorinterfacetypedetails type details cid list bodydeclaration body declaration parent
VARSIG13	javatype type current
CLASSES	javaparsertypeparsingservice parser type parsing service
METHODS	getcompilationunitcontents compilation unit contents gettypeatlocation type location gettypefromstring type updateoutput update output addenumconstant add constant
VARSIG23	importdeclaration declaration importdeclaration declaration
VARSIG22	importdeclaration declaration importdeclaration declaration
VARSIG21	classorinterfacetypedetails type details candidate
VARSIG20	methodmetadata metadata candidate
VARSIG27	enumconstantdeclaration constant declaration constant
VARSIG26	javasymbolname symbol
VARSIG25	list enumconstantdeclaration constant declaration constants
VARSIG24	importdeclaration declaration importdeclaration declaration
VARIABLES	cid fileidentifier file identifier declaredbymetadataid declared metadata typename type filecontents file contents declaredbymetadataid declared metadata typename type compilationunit compilation unit enclosingcompilationunitservices enclosing compilation unit services cid parent importtype type current current candidate constant candidate candidate candidate candidate importdeclaration declaration importdeclaration declaration importdeclaration declaration constants constant metadataservice metadata service typelocationservice type location service compilationunit compilation unit types file typecontents type contents compilationunit compilation unit typedeclaration type declaration typetoimportexpr type expr javaparsermodifier parser modifier typedeclaration type declaration classorinterfacedeclaration declaration implementslist list isinterface pnameexpr expr tempname temp presolvedname resolved extendslist list finalcompilationunitservices compilation unit services compilationunitservices compilation unit services annotations enumdeclaration declaration constants imported imports importpackage importtype type newentry entry
