VARSIG7	memberdetails member details memberdetails member details
VARSIG6	javatype type javatype type
VARSIG9	javatype type javatype type
VARSIG8	metadataidentificationstring metadata identification
VARSIG3	javatype type javatype type
VARSIG2	metadataid metadata
VARSIG5	metadataidentificationstring metadata identification
VARSIG4	memberdetails member details memberdetails member details
COMMENTS	service retrieve metadata web scaffolding add ons returns details types type basetype base type type types basetypedetails base type details details type metadataid metadata link springframework roo metadata metadataitem metadata item consuming returned details required registering metadata dependencies map includes type link typelocationservice type location service isinproject project javatype type
VARSIG19	memberdetails member details memberdetails member details
VARSIG1	memberdetails member details basetypedetails base type details
VARSIG18	javatype type javatype type
VARSIG0	javatype type basetype base type
VARSIG17	metadataidentificationstring metadata identification
MTHSIG4	isrooidentifier roo identifier javatype type javatype type memberdetails member details memberdetails member details
VARSIG12	javatype type javatype type
MTHSIG5	isapplicationtype application type javatype type javatype type
VARSIG11	metadataidentificationstring metadata identification
MTHSIG6	getdatepatterns patterns javatype type javatype type memberdetails member details memberdetails member details metadataidentificationstring metadata identification
VARSIG10	memberdetails member details memberdetails member details
MTHSIG7	getdynamicfindermethodsandfields dynamic finder methods fields javatype type javatype type memberdetails member details memberdetails member details metadataidentificationstring metadata identification
MTHSIG0	getrelatedapplicationtypemetadata application type metadata javatype type basetype base type memberdetails member details basetypedetails base type details metadataid metadata
VARSIG16	memberdetails member details memberdetails member details
MTHSIG1	getdependentapplicationtypemetadata dependent application type metadata javatype type javatype type memberdetails member details memberdetails member details metadataidentificationstring metadata identification
VARSIG15	javatype type javatype type
PACKAGE	springframework roo addon web mvc controller details
MTHSIG2	getscaffoldeligiblefieldmetadata scaffold eligible field metadata javatype type javatype type memberdetails member details memberdetails member details metadataidentificationstring metadata identification
VARSIG14	javatype type javatype type
MTHSIG3	getjavatypepersistencemetadatadetails type persistence metadata details javatype type javatype type memberdetails member details memberdetails member details metadataidentificationstring metadata identification
VARSIG13	memberdetails member details memberdetails member details
MTHSIG8	getjavatypemetadatadetails type metadata details javatype type javatype type memberdetails member details memberdetails member details metadataidentificationstring metadata identification
MTHSIG9	getmemberdetails member details javatype type javatype type
CLASSES	webmetadataservice web metadata service
METHODS	getrelatedapplicationtypemetadata application type metadata getdependentapplicationtypemetadata dependent application type metadata getscaffoldeligiblefieldmetadata scaffold eligible field metadata getjavatypepersistencemetadatadetails type persistence metadata details isrooidentifier roo identifier isapplicationtype application type getdatepatterns patterns getdynamicfindermethodsandfields dynamic finder methods fields getjavatypemetadatadetails type metadata details getmemberdetails member details getcrudadditions crud additions
VARSIG23	metadataidentificationstring metadata identification
VARSIG22	memberdetails member details memberdetails member details
VARSIG21	javatype type javatype type
VARSIG20	metadataidentificationstring metadata identification
VARSIG26	metadataidentificationstring metadata identification
VARSIG25	javatype type domaintype domain type
VARSIG24	javatype type javatype type
MTHSIG10	getcrudadditions crud additions javatype type domaintype domain type metadataidentificationstring metadata identification
VARIABLES	basetype base type basetypedetails base type details metadataid metadata javatype type memberdetails member details metadataidentificationstring metadata identification javatype type memberdetails member details metadataidentificationstring metadata identification javatype type memberdetails member details metadataidentificationstring metadata identification javatype type memberdetails member details javatype type javatype type memberdetails member details metadataidentificationstring metadata identification javatype type memberdetails member details metadataidentificationstring metadata identification javatype type memberdetails member details metadataidentificationstring metadata identification javatype type domaintype domain type metadataidentificationstring metadata identification
