MTHSIG0	assertxmlequals xml equals expectedxml expected xml node actualnode actual node
MTHSIG1	testgettextcontentofnullnode test text content node
PACKAGE	springframework roo support util
MTHSIG2	testgettextcontentofnonnullnode test text content node
MTHSIG3	testremoveelements test remove elements
COMMENTS	unit test link domutils dom utils constants asserts xml node expected content expectedlines expected lines expected lines xml required separate platform actualnode actual node actual xml node required assertionerror assertion error equal replace dummy terminator platform specific applied xmlutils xml utils nodetostring node trim trailing whitespace xmlutils xml utils nodetostring node appends extra newline set set invoke check
CLASSES	domutilstest dom utils test
VARIABLES	expectedxml expected xml actualnode actual node text node text xml removal xml removal normalisedxml normalised xml actualxml actual xml mocknode mock node root middle
VARSIG1	node actualnode actual node
VARSIG0	expectedxml expected xml
METHODS	assertxmlequals xml equals testgettextcontentofnullnode test text content node testgettextcontentofnonnullnode test text content node testremoveelements test remove elements
