VARSIG7	compilationunitservices compilation unit services compilationunitservices compilation unit services
VARSIG6	expression expression
VARSIG9	compilationunitservices compilation unit services compilationunitservices compilation unit services
VARSIG8	expression
VARSIG3	compilationunitservices compilation unit services compilationunitservices compilation unit services
VARSIG2	annotationexpr annotation expr annotationexpr annotation expr
VARSIG5	javasymbolname symbol annotationname annotation
VARSIG4	membervaluepair member pair
COMMENTS	parser implementation link annotationmetadata annotation metadata fields factory annotationexpr annotation expr compilationunitservices compilation unit services instance annotation type assorted types annotations received marker annotations single member annotations normal annotations compute actual annotation type regard compilation unit imports generate member pairs subsequent parsing marker annotation values pairs add add member pair iterate expressions iterate annotation attributes creating parsed attributes map determine type finding real type facilitates addition annotation presented type compilationunitservices compilation unit services required annotations add required annotation add required create holder annotation create search existing annotation type convert candidate annotation type type javatype type annotation type needed create member pairs parser requirements create annotationexpr annotation expr varies depending member pairs number pairs presented add annotationexpr annotation expr actual annotations eventually flushed compilation unit add member pairs annotationexpr annotation expr check cases change existing markerannotationexpr marker annotation expr normalannotationexpr normal annotation expr singlememberannotationexpr single member annotation expr number pairs presented upgrade expression normalannotationexpr normal annotation expr single member pair update expression sort time upgrade expression retaining existing expression values rely nested instance member pairs isn elegant loss type parameters doesn preserve type parameters
VARSIG1	compilationunitservices compilation unit services compilationunitservices compilation unit services
VARSIG0	annotationexpr annotation expr annotationexpr annotation expr
VARSIG17	annotationattributevalue annotation attribute
MTHSIG4	addannotationtolist add annotation list compilationunitservices compilation unit services compilationunitservices compilation unit services list annotationexpr annotation expr annotations annotationmetadata annotation metadata annotation
VARSIG12	annotationexpr annotation expr candidate
MTHSIG5	convert annotationattributevalue annotation attribute
VARSIG11	annotationmetadata annotation metadata annotation
VARSIG10	list annotationexpr annotation expr annotations
MTHSIG0	getinstance instance annotationexpr annotation expr annotationexpr annotation expr compilationunitservices compilation unit services compilationunitservices compilation unit services
VARSIG16	javasymbolname symbol attributename attribute
MTHSIG1	javaparserannotationmetadatabuilder parser annotation metadata builder annotationexpr annotation expr annotationexpr annotation expr compilationunitservices compilation unit services compilationunitservices compilation unit services
VARSIG15	annotationattributevalue annotation attribute
PACKAGE	springframework roo classpath javaparser details
MTHSIG2	build
VARSIG14	membervaluepair member pair pair
MTHSIG3	convert javasymbolname symbol annotationname annotation expression expression compilationunitservices compilation unit services compilationunitservices compilation unit services
VARSIG13	javasymbolname symbol attributename attribute
CLASSES	javaparserannotationmetadatabuilder parser annotation metadata builder
METHODS	getinstance instance javaparserannotationmetadatabuilder parser annotation metadata builder build convert addannotationtolist add annotation list convert
VARIABLES	annotationexpr annotation expr compilationunitservices compilation unit services annotationexpr annotation expr compilationunitservices compilation unit services annotationname annotation expression compilationunitservices compilation unit services compilationunitservices compilation unit services annotations annotation candidate attributename attribute pair attributename attribute annotationtype annotation type attributevalues attribute values nametofind find annotationpairs annotation pairs attributevalues attribute values annotationname annotation annotationmetadatabuilder annotation metadata builder annotationexpr annotation expr floatingprecisiononly floating precision result current left field fieldname field scope nametofind find fscope scope fieldtype field type enumdetails details field fieldtype field type enumdetails details clazz nametofind find javatype type castexp exp arrayelements array elements castexp exp foundexisting existing existingname existing javatype type nametouse membervaluepairs member pairs membervaluepair member pair annotationexpression annotation expression touse mae touse smae touse existingvalue existing annotationpairs annotation pairs touse castvalue annotationexpr annotation expr nestedannotation nested annotation membervaluepairs member pairs castvalue convertedvalue converted castvalue convertedvalue converted castvalue convertedvalue converted castvalue convertedvalue converted doubleattributevalue attribute castvalue convertedvalue converted castvalue convertedvalue converted castvalue convertedvalue converted castvalue nameexpr expr convertedvalue converted castvalue arrayelements array elements
