MTHSIG28	updatetypecache update type cache
MTHSIG26	updateattributecache update attribute cache memberholdingtypedetails member holding type details cid
MTHSIG27	updatechanges update typename type remove
MTHSIG24	lookupclassorinterfacetypedetails lookup type details physicaltypeidentifier physical type identifier
MTHSIG25	processtypeswithtag process types tag object tag locatedtypecallback located type callback callback
MTHSIG22	getproposedjavatype proposed type filecanonicalpath file canonical path
MTHSIG23	inittypemap init type map
MTHSIG4	getphysicaltypecanonicalpath physical type canonical path javatype type javatype type logicalpath logical path path
MTHSIG5	getphysicaltypecanonicalpath physical type canonical path physicaltypeid physical type
MTHSIG6	getphysicaltypeidentifier physical type identifier javatype type type
MTHSIG7	getphysicaltypeidentifier physical type identifier filecanonicalpath file canonical path
MTHSIG0	findclassesorinterfacedetailswithannotation find classes details annotation javatype type annotationstodetect annotations detect
MTHSIG1	findclassesorinterfacedetailswithtag find classes details tag object tag
MTHSIG2	findtypeswithannotation find types annotation javatype type annotationstodetect annotations detect
MTHSIG3	findtypeswithannotation find types annotation list javatype type annotationstodetect annotations detect
MTHSIG20	getparentpath parent path javatype type javatype type
MTHSIG21	getphysicalpath physical path javatype type javatype type
MTHSIG8	getpotentialtoplevelpackagesformodule potential top level packages module pom module
MTHSIG9	gettoplevelpackageformodule top level module pom module
METHODS	findclassesorinterfacedetailswithannotation find classes details annotation findclassesorinterfacedetailswithtag find classes details tag findtypeswithannotation find types annotation findtypeswithannotation find types annotation getphysicaltypecanonicalpath physical type canonical path getphysicaltypecanonicalpath physical type canonical path getphysicaltypeidentifier physical type identifier getphysicaltypeidentifier physical type identifier getpotentialtoplevelpackagesformodule potential top level packages module gettoplevelpackageformodule top level module gettypedetails type details gettypedetails type details gettypepath type path gettypesformodule types module hastypechanged type changed isinproject project processtypeswithannotation process types annotation cachetype cache type discovertypes discover types doespathindicatejavatype path type getparentpath parent path getphysicalpath physical path getproposedjavatype proposed type inittypemap init type map lookupclassorinterfacetypedetails lookup type details processtypeswithtag process types tag updateattributecache update attribute cache updatechanges update updatetypecache update type cache
VARSIG64	change
VARSIG63	requestingclass requesting
VARSIG62	remove
VARSIG61	typename type
VARSIG60	object customdata custom data
COMMENTS	implementation link typelocationservice type location service performance reasons automatically caches queries cache invalidated file system fields side focused module depend type type module cache doesn annotation processing call project processed cache updated methods change drop cache retrieve list paths discovered modified invocation determine javatype type file obtains fresh copy link classorinterfacetypedetails type details physical type physicaltypeidentifier physical type identifier lookup required requested details unavailable cache doesn tag processing call project processed cache updated update type cache
VARSIG19	typename type
VARSIG18	pom module
VARSIG17	map entry set entry
VARSIG12	filecanonicalpath file canonical path
VARSIG11	javatype type type
VARSIG10	physicaltypeid physical type
VARSIG16	discoveredpackage discovered
VARSIG15	typename type
VARSIG14	pom module
VARSIG13	physicalpath physical path physicalpath physical path
MTHSIG17	cachetype cache type filecanonicalpath file canonical path
MTHSIG18	discovertypes discover types
MTHSIG15	isinproject project javatype type javatype type
MTHSIG16	processtypeswithannotation process types annotation list javatype type annotationstodetect annotations detect locatedtypecallback located type callback callback
MTHSIG13	gettypesformodule types module modulepath module path
MTHSIG14	hastypechanged type changed requestingclass requesting javatype type javatype type
MTHSIG11	gettypedetails type details physicaltypeid physical type
MTHSIG12	gettypepath type path javatype type javatype type
MTHSIG19	doespathindicatejavatype path type filecanonicalpath file canonical path
MTHSIG10	gettypedetails type details javatype type type
