VARSIG2	itdmetadataprovider metadata provider metadataprovider metadata provider
COMMENTS	metadata type user user project excludes members introduced inter type declaration bytecode modification technique physicaltypemetadataprovider physical type metadata provider memberdetailsscanner member details scanner location disk file resource canonical format obtains canonical file path emitted physical type metadataprovider metadata provider link itdmetadataprovider metadata provider getitduniquenessfilenamesuffix uniqueness filename suffix queried full file path produce link getitdcanonicalpath canonical path itdmetadataprovider metadata provider fixes typo obtains canonical file path emitted physical type metadataprovider metadata provider link metadataprovider metadata provider produces question full file path produce obtains link javatype type represents physical type metadataprovider metadata provider link itdmetadataprovider metadata provider getitduniquenessfilenamesuffix uniqueness filename suffix queried link javatype type applicable returns type physical type type
CLASSES	physicaltypemetadata physical type metadata
VARSIG1	itdmetadataprovider metadata provider metadataprovider metadata provider
VARSIG0	itdmetadataprovider metadata provider metadataprovider metadata provider
METHODS	getphysicallocationcanonicalpath physical location canonical path getitdcanoncialpath canoncial path getitdcanonicalpath canonical path getitdjavatype type gettype type
MTHSIG4	gettype type
MTHSIG0	getphysicallocationcanonicalpath physical location canonical path
MTHSIG1	getitdcanoncialpath canoncial path itdmetadataprovider metadata provider metadataprovider metadata provider
PACKAGE	springframework roo classpath
MTHSIG2	getitdcanonicalpath canonical path itdmetadataprovider metadata provider metadataprovider metadata provider
MTHSIG3	getitdjavatype type itdmetadataprovider metadata provider metadataprovider metadata provider
VARIABLES	metadataprovider metadata provider metadataprovider metadata provider metadataprovider metadata provider
