VARSIG3	version
VARSIG2	artifactid artifact
VARSIG5	object
VARSIG4	gav
COMMENTS	combination maven style groupid group artifactid artifact version returns instance based concatenated maven coordinates coordinates groupid group artifactid artifact version separated link mavenutils maven utils coordinate separator blank instance illegalargumentexception illegal argument exception formatted explained elements invalid fields constructor groupid group valid maven artifactid artifact valid maven version blank check assign debugging
CLASSES	gav
VARSIG1	groupid group
VARSIG0	coordinates
METHODS	getinstance instance gav getartifactid artifact getgroupid group getversion version tostring compareto compare equals hashcode hash code
MTHSIG4	getversion version
MTHSIG5	tostring
MTHSIG6	compareto compare gav
MTHSIG7	equals object
MTHSIG0	getinstance instance coordinates
MTHSIG1	gav groupid group artifactid artifact version
PACKAGE	springframework roo project
MTHSIG2	getartifactid artifact
MTHSIG3	getgroupid group
VARIABLES	coordinates groupid group artifactid artifact version coordinatearray coordinate array groupid group artifactid artifact version result
MTHSIG8	hashcode hash code
