MTHSIG0	getannotationtype annotation type
MTHSIG1	getattributenames attribute names
PACKAGE	springframework roo classpath details annotations
MTHSIG2	getattribute attribute javasymbolname symbol attributename attribute
MTHSIG3	getattribute attribute attributename attribute
COMMENTS	metadata annotation appearing member annotation type attribute names preferably order declared annotation empty acquires attribute requested attributename attribute requested attribute returns attribute attributename attribute requested attribute
CLASSES	annotationmetadata annotation metadata
VARIABLES	attributename attribute attributename attribute
VARSIG1	attributename attribute
VARSIG0	javasymbolname symbol attributename attribute
METHODS	getannotationtype annotation type getattributenames attribute names getattribute attribute getattribute attribute
