VARSIG6	object
VARSIG3	metadataidentificationstring metadata identification
VARSIG2	metadataidentificationstring metadata identification
VARSIG5	proxytypecontents proxy type contents
VARSIG4	
COMMENTS	constants fields
CLASSES	gwtlocatormetadata gwt locator metadata
VARSIG1	logicalpath logical path path
VARSIG0	javatype type javatype type
METHODS	getmetadataidentifiertype metadata identifier type createidentifier create identifier getjavatype type getpath path gwtlocatormetadata gwt locator metadata equals hashcode hash code
MTHSIG4	gwtlocatormetadata gwt locator metadata proxytypecontents proxy type contents
MTHSIG5	equals object
MTHSIG6	hashcode hash code
MTHSIG0	getmetadataidentifiertype metadata identifier type
MTHSIG1	createidentifier create identifier javatype type javatype type logicalpath logical path path
PACKAGE	springframework roo addon gwt locator
MTHSIG2	getjavatype type metadataidentificationstring metadata identification
MTHSIG3	getpath path metadataidentificationstring metadata identification
VARIABLES	javatype type path metadataidentificationstring metadata identification metadataidentificationstring metadata identification proxytypecontents proxy type contents type type proxytypecontents proxy type contents
